model,n_folds,mae,mse,rmse,r2,r,elapsed_time,n_samples,n_features,transformer,scale,X_pca,scaled_data,run_nbr,layers,target,delta_vec,emb_PCA,emb_pca_n,X_added_t1_score
ak_struct_reg,5,2.3034955145176688,9.712735358601332,3.1115281936644728,0.6254184197858204,0.7895522498294723,445.14362931251526,474,9,bert-base-uncased,hils,no,no,0,12_13,delta,no,yes,2,yes
ak_struct_reg,5,1.5574800273953977,4.766552354099471,1.9809341193842165,0.7964300524633269,0.8929962982985561,704.5801558494568,474,65,bert-base-uncased,hils,no,no,0,12_13,delta,no,yes,16,yes
ak_struct_reg,5,1.3636022879233352,4.203681471683475,1.8312094207356824,0.8189917187729681,0.9078645905321756,771.5281004905701,474,129,bert-base-uncased,hils,no,no,0,12_13,delta,no,yes,32,yes
ak_struct_reg,5,2.190933786656328,8.551964585240608,2.9026982153861143,0.6683281526586117,0.8454732390454215,875.0404026508331,474,257,bert-base-uncased,hils,no,no,0,12_13,delta,no,yes,64,yes
ak_struct_reg,5,1.7446217206611077,7.481090145329763,2.5940583969621125,0.6943129836412778,0.8333183684898794,1243.0027165412905,474,513,bert-base-uncased,hils,no,no,0,12_13,delta,no,yes,128,yes
ak_struct_reg,5,0.873862801407029,2.826831366722184,1.1647869576500434,0.8694118034545554,0.9217437708409152,2177.3247599601746,474,1025,bert-base-uncased,hils,no,no,0,12_13,delta,no,yes,256,yes
ak_struct_reg,5,2.8523788755231045,16.416864651361013,4.04802695331907,0.3836542520376784,0.6237482476876466,594.4220058917999,474,5,bert-base-uncased,hils,no,no,0,12_13,delta,yes,yes,2,yes
ak_struct_reg,5,3.072113518925824,20.86694878477718,4.543370919599453,0.2468554642866308,0.5574824287811855,552.8165266513824,474,33,bert-base-uncased,hils,no,no,0,12_13,delta,yes,yes,16,yes
ak_struct_reg,5,2.95300282162221,17.693817264863796,4.185920045426878,0.357935060327554,0.6448208133967166,634.1351983547211,474,65,bert-base-uncased,hils,no,no,0,12_13,delta,yes,yes,32,yes
ak_struct_reg,5,2.217563788348857,12.033757613517148,3.379425198364284,0.5274729718719169,0.7138549223879516,529.3744874000549,474,129,bert-base-uncased,hils,no,no,0,12_13,delta,yes,yes,64,yes
ak_struct_reg,5,2.1456546068428475,9.076207485490228,2.948720957501476,0.6381932672792001,0.8137057276712326,654.2112550735474,474,257,bert-base-uncased,hils,no,no,0,12_13,delta,yes,yes,128,yes
ak_struct_reg,5,2.149258622452366,10.16556574892849,3.124214855453262,0.5897237111734304,0.7792222801712052,858.0766928195953,474,513,bert-base-uncased,hils,no,no,0,12_13,delta,yes,yes,256,yes
ak_struct_reg,5,2.849208715701891,14.813283970174316,3.835712218581969,0.4412827544457428,0.6628298797762848,604.1356737613678,474,8,bert-base-uncased,hils,no,no,0,12_13,delta,no,yes,2,no
ak_struct_reg,5,0.7301115725005373,3.8182436038037273,0.9916346001590192,0.8185393009079949,0.8938368066486138,793.0611445903778,474,64,bert-base-uncased,hils,no,no,0,12_13,delta,no,yes,16,no
ak_struct_reg,5,3.332438293226889,27.863104588096025,5.245949735953131,-0.0021213029341203,,614.1673076152802,474,128,bert-base-uncased,hils,no,no,0,12_13,delta,no,yes,32,no
ak_struct_reg,5,2.2870128658081823,10.660562156161568,3.2170175669955987,0.5783526581021813,0.7604115641716096,448.77319717407227,474,8,bert-base-uncased,hils,no,no,1,12_13,delta,no,yes,2,no
ak_struct_reg,5,1.884987823134841,7.380634476544882,2.594447478930668,0.6993550038186489,0.8508926258636895,649.9933748245239,474,64,bert-base-uncased,hils,no,no,1,12_13,delta,no,yes,16,no
ak_struct_reg,5,1.6552081908664404,6.3220983778685405,2.28027371013099,0.7303637480687841,0.8630060681610299,506.43283796310425,474,128,bert-base-uncased,hils,no,no,1,12_13,delta,no,yes,32,no
ak_struct_reg,5,2.42845139934042,11.99109349462034,3.43947291342528,0.5467950214314792,0.7793378936985464,871.331205368042,474,256,bert-base-uncased,hils,no,no,0,12_13,delta,no,yes,64,no
ak_struct_reg,5,1.4513054022973888,5.34360683088089,2.07687412049851,0.777484204602854,0.8760454061177223,1848.4177570343013,474,512,bert-base-uncased,hils,no,no,0,12_13,delta,no,yes,128,no
ak_struct_reg,5,1.8897865173958184,7.849463766870329,2.688218747195956,0.6925729784330967,0.8718337976785289,1738.4267601966858,474,1024,bert-base-uncased,hils,no,no,0,12_13,delta,no,yes,256,no
ak_struct_reg,5,3.1281976674535508,22.05488481292624,4.678610769122029,0.1946865881499287,0.4987205693778576,630.4127097129822,474,4,bert-base-uncased,hils,no,no,0,12_13,delta,yes,yes,2,no
ak_struct_reg,5,2.8126037436112403,15.837535000869131,3.965398824782331,0.4103025935377267,0.6741355196978579,1198.8654460906982,474,32,bert-base-uncased,hils,no,no,0,12_13,delta,yes,yes,16,no
ak_struct_reg,5,3.33359715634738,27.86412128942608,5.246051593659327,-0.0021632282593123,,475.16100811958313,474,64,bert-base-uncased,hils,no,no,0,12_13,delta,yes,yes,32,no
ak_struct_reg,5,1.6155301136999891,6.427194543777619,2.3737578728542785,0.7347769761327619,0.849449754600157,571.7714040279388,474,128,bert-base-uncased,hils,no,no,0,12_13,delta,yes,yes,64,no
