model,n_folds,mae,mse,rmse,r2,r,elapsed_time,n_samples,n_features,transformer,scale,X_pca,scaled_data,run_nbr,layers,target,delta_vec,emb_PCA,emb_pca_n,X_added_t1_score
blr,5,3.0019276909582144,15.856574723608052,3.966660272328066,0.4162491077206313,0.648310531136287,52.35125803947449,474,9,bert-base-uncased,hils,no,no,0,12_13,delta,no,yes,2,yes
blr,5,2.84453298701969,13.714427408116103,3.686402032950126,0.4921409303336402,0.702370458730352,53.71265935897827,474,65,bert-base-uncased,hils,no,no,0,12_13,delta,no,yes,16,yes
blr,5,2.9009399668057427,14.437295013872836,3.783387156219537,0.4668334980097084,0.6850098152360694,54.04598498344421,474,129,bert-base-uncased,hils,no,no,0,12_13,delta,no,yes,32,yes
blr,5,2.922370412558268,14.749456000807973,3.826496398163108,0.4533569640852753,0.677421478068173,55.3951358795166,474,257,bert-base-uncased,hils,no,no,0,12_13,delta,no,yes,64,yes
blr,5,2.9466312984179366,14.840148746331923,3.840717485797198,0.448490675940482,0.6745218219939638,59.64741230010986,474,513,bert-base-uncased,hils,no,no,0,12_13,delta,no,yes,128,yes
blr,5,2.94448388445144,14.906833725279018,3.848808553801976,0.4460939267470266,0.6725640230401397,66.10462093353271,474,1025,bert-base-uncased,hils,no,no,0,12_13,delta,no,yes,256,yes
blr,5,3.173244153652845,18.352239673901583,4.273291349556292,0.3243622539006404,0.5744514187782701,54.70041227340698,474,5,bert-base-uncased,hils,no,no,0,12_13,delta,yes,yes,2,yes
blr,5,3.030733653394647,15.67296084777665,3.949749917553386,0.4136161234902527,0.6462233585479901,55.797508239746094,474,33,bert-base-uncased,hils,no,no,0,12_13,delta,yes,yes,16,yes
blr,5,3.099794437951739,16.869862706796027,4.095711106237431,0.3725266503119782,0.6145404474741609,57.64599919319153,474,65,bert-base-uncased,hils,no,no,0,12_13,delta,yes,yes,32,yes
blr,5,3.1766399061367605,17.627645935022723,4.186162409558614,0.3449608580559675,0.5953571713778224,59.48499870300293,474,129,bert-base-uncased,hils,no,no,0,12_13,delta,yes,yes,64,yes
blr,5,3.2212978804044767,18.164201462736944,4.250503101920014,0.3249984381235357,0.577988274756055,62.60179543495178,474,257,bert-base-uncased,hils,no,no,0,12_13,delta,yes,yes,128,yes
blr,5,3.246790211347532,18.514026415925308,4.290648840677312,0.3112806351520575,0.5665548400575792,65.60000014305115,474,513,bert-base-uncased,hils,no,no,0,12_13,delta,yes,yes,256,yes
blr,5,3.2558413366831056,20.595328944704068,4.521644342768371,0.2435018058685226,0.5118922116267626,53.21498394012451,474,8,bert-base-uncased,hils,no,no,0,12_13,delta,no,yes,2,no
blr,5,3.171383030775061,18.978952029126702,4.341345227151213,0.3006556216839442,0.5599819452132192,54.24182343482971,474,64,bert-base-uncased,hils,no,no,0,12_13,delta,no,yes,16,no
blr,5,3.2240955666116937,19.724360349771104,4.422254188932794,0.2768384665450436,0.5417296379309892,55.02525496482849,474,128,bert-base-uncased,hils,no,no,0,12_13,delta,no,yes,32,no
blr,5,3.18995046934801,19.887343169672683,4.441069609175868,0.2701650291988693,0.5347598120122671,56.89239978790283,474,256,bert-base-uncased,hils,no,no,0,12_13,delta,no,yes,64,no
blr,5,3.203379356822844,20.04106500324834,4.457191656722911,0.2633165652386707,0.5328706895563028,59.58131265640259,474,512,bert-base-uncased,hils,no,no,0,12_13,delta,no,yes,128,no
blr,5,3.205407540546571,20.082737631630906,4.461574192077231,0.2613965091411837,0.5309003036976587,68.06533551216125,474,1024,bert-base-uncased,hils,no,no,0,12_13,delta,no,yes,256,no
blr,5,3.296796757275596,21.353407925798766,4.603710914082091,0.2189536922753268,0.483261074329237,54.00871419906616,474,4,bert-base-uncased,hils,no,no,0,12_13,delta,yes,yes,2,no
blr,5,3.281063789356834,19.79165309984668,4.4385492679098055,0.2667382676926358,0.5289887640927727,52.96820521354675,474,32,bert-base-uncased,hils,no,no,0,12_13,delta,yes,yes,16,no
blr,5,3.3314329145902435,20.59135548905915,4.523338497255849,0.2432562109828626,0.5047165146358255,53.29500031471253,474,64,bert-base-uncased,hils,no,no,0,12_13,delta,yes,yes,32,no
blr,5,3.3212705210169453,20.952115005238426,4.559488920151544,0.2334612465080346,0.4950793762251997,53.6220006942749,474,128,bert-base-uncased,hils,no,no,0,12_13,delta,yes,yes,64,no
blr,5,3.367768468780647,21.567637549889017,4.626453469731144,0.2092680503177067,0.4738311401039518,58.51843786239624,474,256,bert-base-uncased,hils,no,no,0,12_13,delta,yes,yes,128,no
blr,5,3.3833353847873937,21.878308139982654,4.65949667716859,0.1967750621181261,0.460013793688382,61.01600170135498,474,512,bert-base-uncased,hils,no,no,0,12_13,delta,yes,yes,256,no
blr,5,3.202517825683421,20.03918177962459,4.456869999258093,0.2629322106552832,0.5320381937118361,97.7357850074768,474,3072,bert-base-uncased,hils,no,no,0,12_13,delta,no,no,2,no
blr,5,3.067589783406236,18.383693163656915,4.272499318751338,0.3232493736896932,0.5777028805415358,71.97580599784851,474,1536,bert-base-uncased,hils,no,no,0,12_13,delta,yes,no,2,no
blr,5,3.034125712983836,16.74281713861786,4.079941864067273,0.3819684867516033,0.6241468049505785,73.0097906589508,474,1537,bert-base-uncased,hils,no,no,0,12_13,delta,yes,no,2,yes
blr,5,2.945397687006475,14.878797175416446,3.8452092947283356,0.4471419636438336,0.6732570382175298,106.12375354766846,474,3073,bert-base-uncased,hils,no,no,0,12_13,delta,no,no,2,yes
