model,n_folds,mae,mse,rmse,r2,r,elapsed_time,n_samples,n_features,transformer,scale,X_pca,scaled_data,run_nbr,layers,target,delta_vec,emb_PCA,emb_pca_n,X_added_t1_score
ridge,5,3.006365964446716,15.815186653896465,3.961174245646839,0.4174726633287742,0.6492988540259774,43.091723680496216,474,9,bert-base-uncased,hils,no,no,0,12_13,delta,no,yes,2,yes
ridge,5,2.866425180374012,13.769231328066866,3.694547106354387,0.4881182319463363,0.7028674365367683,40.27814793586731,474,65,bert-base-uncased,hils,no,no,0,12_13,delta,no,yes,16,yes
ridge,5,3.0768968201988027,15.8010502272562,3.963626730157556,0.4130160731387621,0.6593384217965768,40.65197610855103,474,129,bert-base-uncased,hils,no,no,0,12_13,delta,no,yes,32,yes
ridge,5,3.3011043540305898,18.315145119956657,4.270468881237411,0.3126741787175088,0.6185434388246647,41.97877311706543,474,257,bert-base-uncased,hils,no,no,0,12_13,delta,no,yes,64,yes
ridge,5,3.595363379386002,20.83143967261945,4.562013910478127,0.2141816127187934,0.5796858996787028,44.65753531455994,474,513,bert-base-uncased,hils,no,no,0,12_13,delta,no,yes,128,yes
ridge,5,3.458608718035664,19.53290791998754,4.417147424227187,0.2628310957080046,0.591791964390254,48.04736638069153,474,1025,bert-base-uncased,hils,no,no,0,12_13,delta,no,yes,256,yes
ridge,5,3.174949236391642,18.33884657906677,4.27165724664574,0.3247555905346206,0.5749077868446154,43.5762836933136,474,5,bert-base-uncased,hils,no,no,0,12_13,delta,yes,yes,2,yes
ridge,5,3.035821540436833,15.549353384631408,3.934883148323472,0.4169722361890836,0.6507422777578745,39.94701337814331,474,33,bert-base-uncased,hils,no,no,0,12_13,delta,yes,yes,16,yes
ridge,5,3.15671552673354,17.351242347715687,4.153662769790554,0.3544985368021306,0.6141383832056528,39.53401207923889,474,65,bert-base-uncased,hils,no,no,0,12_13,delta,yes,yes,32,yes
ridge,5,3.347723162560716,19.311771440697903,4.380248713682455,0.279657464415571,0.5819419245608629,41.05952072143555,474,129,bert-base-uncased,hils,no,no,0,12_13,delta,yes,yes,64,yes
ridge,5,3.6495576933587786,22.12093259101725,4.698855606166145,0.1705219962847035,0.5257147112882506,42.2914502620697,474,257,bert-base-uncased,hils,no,no,0,12_13,delta,yes,yes,128,yes
ridge,5,3.733932467392554,23.53417502469115,4.84595211184243,0.1143499170149167,0.4864997861528753,44.69524383544922,474,513,bert-base-uncased,hils,no,no,0,12_13,delta,yes,yes,256,yes
ridge,5,3.2625312025199618,20.48388123937137,4.509899724776469,0.2463000556056004,0.513687700080564,46.82396626472473,474,8,bert-base-uncased,hils,no,no,0,12_13,delta,no,yes,2,no
ridge,5,3.2490031659449223,19.105605142607374,4.35679432082661,0.2919161229480786,0.5607311229171728,43.9490647315979,474,64,bert-base-uncased,hils,no,no,0,12_13,delta,no,yes,16,no
ridge,5,3.4961377522386883,21.781383184980747,4.651462238719477,0.1979175629688139,0.5050375495445749,46.37819266319275,474,128,bert-base-uncased,hils,no,no,0,12_13,delta,no,yes,32,no
ridge,5,3.7375398607864754,24.96482628425619,4.982962513175048,0.0719978570997177,0.4580166820964785,48.36201977729797,474,256,bert-base-uncased,hils,no,no,0,12_13,delta,no,yes,64,no
ridge,5,4.055170683305694,28.15839012573312,5.299664007893154,-0.0535094070317816,0.4170793358776468,48.19265866279602,474,512,bert-base-uncased,hils,no,no,0,12_13,delta,no,yes,128,no
ridge,5,3.898439334492184,26.434150530011586,5.132413812058479,0.0100531143765221,0.4280381604665445,47.52935409545898,474,1024,bert-base-uncased,hils,no,no,0,12_13,delta,no,yes,256,no
ridge,5,3.293779830654546,21.315868898278225,4.59960525444885,0.2203943930551354,0.4834278933171205,44.84937834739685,474,4,bert-base-uncased,hils,no,no,0,12_13,delta,yes,yes,2,no
ridge,5,3.2961454570355846,19.66357698481908,4.425682449988504,0.2667927334602583,0.534367359877754,39.54499912261963,474,32,bert-base-uncased,hils,no,no,0,12_13,delta,yes,yes,16,no
ridge,5,3.455908878559854,21.150133445619,4.587416814076446,0.2179361044903735,0.5039429337451657,41.89599990844727,474,64,bert-base-uncased,hils,no,no,0,12_13,delta,yes,yes,32,no
ridge,5,3.5884821184172013,22.879553015506247,4.7706205605700855,0.1515304235856691,0.4787268422490878,43.23199987411499,474,128,bert-base-uncased,hils,no,no,0,12_13,delta,yes,yes,64,no
ridge,5,3.961195460809914,26.79825707870369,5.170573440994845,-0.0078533986177007,0.4128461301459812,45.65499997138977,474,256,bert-base-uncased,hils,no,no,0,12_13,delta,yes,yes,128,no
ridge,5,4.0332047026809335,27.80404009797724,5.266653153309543,-0.0434563132097769,0.3740019937301221,45.31999969482422,474,512,bert-base-uncased,hils,no,no,0,12_13,delta,yes,yes,256,no
ridge,5,3.783226557389305,25.12304703362958,5.001395297325594,0.0619586587357718,0.4458586478941099,56.06202268600464,474,3072,bert-base-uncased,hils,no,no,0,12_13,delta,no,no,2,no
ridge,5,3.60646570942742,23.30801246027099,4.8184989916513565,0.1373029111928895,0.4811269334659478,55.00488758087158,474,1536,bert-base-uncased,hils,no,no,0,12_13,delta,yes,no,2,no
ridge,5,3.5223240333429224,21.19767127309037,4.594016011687371,0.2150837212268305,0.5397530008540279,52.984063148498535,474,1537,bert-base-uncased,hils,no,no,0,12_13,delta,yes,no,2,yes
ridge,5,3.3711793585536354,18.47778254681996,4.295014563827927,0.30465081314558534,0.6085847192145323,57.78407049179077,474,3073,bert-base-uncased,hils,no,no,0,12_13,delta,no,no,2,yes
