model,n_folds,mae,mse,rmse,r2,r,elapsed_time,n_samples,n_features,transformer,scale,X_pca,scaled_data,run_nbr,layers,target,delta_vec,emb_PCA,emb_pca_n,X_added_t1_score
ak_struct_reg,5,2.781590192787191,15.111359864066838,3.8762360651898575,0.4464320566401154,0.6980144454203493,500.3597011566162,474,9,bert-large-uncased,hils,no,no,0,24_25,delta,no,yes,2,yes
ak_struct_reg,5,1.4381063103175244,4.427879855378335,1.936559809196504,0.8165218579716201,0.9035289786130536,740.5046842098236,474,65,bert-large-uncased,hils,no,no,0,24_25,delta,no,yes,16,yes
ak_struct_reg,5,1.448492822957633,4.139865332835259,1.8998875481500228,0.8273467996178467,0.9107115592916706,947.8062243461608,474,129,bert-large-uncased,hils,no,no,0,24_25,delta,no,yes,32,yes
ak_struct_reg,5,1.192523849335617,3.45650407258737,1.53787267694619,0.8446967952960124,0.9161750524576642,984.3902504444122,474,257,bert-large-uncased,hils,no,no,0,24_25,delta,no,yes,64,yes
ak_struct_reg,5,0.7939413648194342,2.496679807187016,1.0847986344481495,0.8841608661806184,0.9326720865515552,1385.7795903682709,474,513,bert-large-uncased,hils,no,no,0,24_25,delta,no,yes,128,yes
ak_struct_reg,5,1.7880396960403722,8.04958780162766,2.726712426947869,0.6822852583354726,0.8187253728064994,2028.2394819259644,474,1025,bert-large-uncased,hils,no,no,0,24_25,delta,no,yes,256,yes
ak_struct_reg,5,2.5725467906780497,12.424385855051042,3.4925245213795533,0.5252851642514601,0.7266129013368829,546.7578999996185,474,5,bert-large-uncased,hils,no,no,0,24_25,delta,yes,yes,2,yes
ak_struct_reg,5,2.9798493319796244,17.807730723111597,4.198571342368076,0.3542102169496549,0.6276869890277318,574.1160833835602,474,33,bert-large-uncased,hils,no,no,0,24_25,delta,yes,yes,16,yes
ak_struct_reg,5,1.713637765858235,6.316226768373413,2.358106031183448,0.7402423182267664,0.8673720626023034,564.5061383247375,474,65,bert-large-uncased,hils,no,no,0,24_25,delta,yes,yes,32,yes
ak_struct_reg,5,1.1347784966096066,3.915210441520217,1.5392543893009845,0.8243850202301439,0.8937871590382747,594.8174178600311,474,129,bert-large-uncased,hils,no,no,0,24_25,delta,yes,yes,64,yes
