model,n_folds,mae,mse,rmse,r2,r,elapsed_time,n_samples,n_features,transformer,scale,X_pca,scaled_data,run_nbr,layers,target,delta_vec,emb_PCA,emb_pca_n,X_added_t1_score
blr,5,3.084809777376712,17.584361375145914,4.18166046515487,0.3537992539825779,0.6006657195265845,57.28498888015747,474,9,bert-large-uncased,hils,no,no,0,24_25,delta,no,yes,2,yes
blr,5,2.8147338751603823,14.051446334241888,3.731566184392694,0.4817842346482221,0.6953807720739775,56.779653549194336,474,65,bert-large-uncased,hils,no,no,0,24_25,delta,no,yes,16,yes
blr,5,2.7814839452352045,13.851226578126337,3.702369744246728,0.4871168383591964,0.7019181867769275,70.61606121063232,474,129,bert-large-uncased,hils,no,no,0,24_25,delta,no,yes,32,yes
blr,5,2.831064104585559,14.174829371301636,3.7462602953675135,0.4769637208708673,0.6940624538705429,58.54329013824463,474,257,bert-large-uncased,hils,no,no,0,24_25,delta,no,yes,64,yes
blr,5,2.8508198228881025,14.3726814967283,3.775030163239689,0.4681136632563739,0.6882136907590771,64.46358299255371,474,513,bert-large-uncased,hils,no,no,0,24_25,delta,no,yes,128,yes
blr,5,2.841190375582419,14.278388801044509,3.759755144862185,0.4725986903574323,0.6909037364738534,67.01694679260254,474,1025,bert-large-uncased,hils,no,no,0,24_25,delta,no,yes,256,yes
blr,5,3.265199545492437,19.49770012407195,4.3992841774266624,0.2864898103975249,0.5439160710766819,57.22853398323059,474,5,bert-large-uncased,hils,no,no,0,24_25,delta,yes,yes,2,yes
blr,5,3.181660400773032,17.84459067086091,4.206450421648169,0.349727881120917,0.5944394145870406,57.46640944480896,474,33,bert-large-uncased,hils,no,no,0,24_25,delta,yes,yes,16,yes
blr,5,3.173864015155776,17.71113544672854,4.190726019003213,0.3549917968005803,0.6009442890705827,57.154998540878296,474,65,bert-large-uncased,hils,no,no,0,24_25,delta,yes,yes,32,yes
blr,5,3.224676015475397,18.17210259508353,4.242851857444105,0.3390717361759777,0.5877525253754536,58.20320892333984,474,129,bert-large-uncased,hils,no,no,0,24_25,delta,yes,yes,64,yes
blr,5,3.2308673762272413,18.241980796802164,4.251955312969512,0.3361372373981385,0.5852960783899029,62.540732622146606,474,257,bert-large-uncased,hils,no,no,0,24_25,delta,yes,yes,128,yes
blr,5,3.222781605769209,18.076661496239943,4.232518239864992,0.3422720008089203,0.590822300708848,62.881200075149536,474,513,bert-large-uncased,hils,no,no,0,24_25,delta,yes,yes,256,yes
blr,5,3.339719631535099,22.19601131422409,4.690679713343942,0.1925197303995155,0.4513662084915061,55.799256563186646,474,8,bert-large-uncased,hils,no,no,0,24_25,delta,no,yes,2,no
blr,5,3.1046575247512207,18.672409873904023,4.2979955177776175,0.3182708589150657,0.5754575931722744,56.92683005332947,474,64,bert-large-uncased,hils,no,no,0,24_25,delta,no,yes,16,no
blr,5,3.079641524437214,18.4567530879378,4.274169158731125,0.3268511637339512,0.5815263803563145,58.7981903553009,474,128,bert-large-uncased,hils,no,no,0,24_25,delta,no,yes,32,no
blr,5,3.118342186824307,18.99128113018839,4.334781739367036,0.3085634572674357,0.5648847945167418,63.37750959396362,474,256,bert-large-uncased,hils,no,no,0,24_25,delta,no,yes,64,no
blr,5,3.148903215892299,19.179068362798347,4.358939020128497,0.2997173699812646,0.5581520320964427,63.15141916275024,474,512,bert-large-uncased,hils,no,no,0,24_25,delta,no,yes,128,no
blr,5,3.143727851500737,19.04765354522848,4.3429199646695285,0.3052334036708999,0.5622330459497549,76.74168109893799,474,1024,bert-large-uncased,hils,no,no,0,24_25,delta,no,yes,256,no
blr,5,3.3206496761277826,21.98626924508652,4.670357419127254,0.198082325578706,0.4590829369998423,54.79298210144043,474,4,bert-large-uncased,hils,no,no,0,24_25,delta,yes,yes,2,no
blr,5,3.280665568473621,20.88252696465813,4.550513846983907,0.2390232980236648,0.5024971464996033,55.19900012016296,474,32,bert-large-uncased,hils,no,no,0,24_25,delta,yes,yes,16,no
blr,5,3.2621987199450126,20.69467535409624,4.529245375547654,0.2468207442028481,0.5124569685399397,59.39359378814697,474,64,bert-large-uncased,hils,no,no,0,24_25,delta,yes,yes,32,no
blr,5,3.308314987599869,21.09049937694176,4.571264306221624,0.2330247237948633,0.4989579179873978,57.94473910331726,474,128,bert-large-uncased,hils,no,no,0,24_25,delta,yes,yes,64,no
blr,5,3.3294424047883204,21.05182945454346,4.5673928871011285,0.2340738199793338,0.5000136280782191,59.38300037384033,474,256,bert-large-uncased,hils,no,no,0,24_25,delta,yes,yes,128,no
blr,5,3.331689515274899,20.94152255013072,4.556316192074238,0.2374196592743519,0.5054924868780536,62.75884771347046,474,512,bert-large-uncased,hils,no,no,0,24_25,delta,yes,yes,256,no
blr,5,3.1423137782835537,19.03327900668653,4.3413355609584725,0.3056854449988663,0.5627075202369695,124.50830221176147,474,4096,bert-large-uncased,hils,no,no,0,24_25,delta,no,no,2,no
blr,5,3.0138697517293687,17.896217942241798,4.218480566488819,0.3399033541125965,0.5906291586567354,78.93055319786072,474,2048,bert-large-uncased,hils,no,no,0,24_25,delta,yes,no,2,no
blr,5,2.997427886671136,16.31101349735223,4.0280004610758455,0.3980295169985485,0.6350820952837438,83.94978713989258,474,2049,bert-large-uncased,hils,no,no,0,24_25,delta,yes,no,2,yes
blr,5,2.8434767959676255,14.286031286943125,3.7612384680276194,0.4721205279909915,0.6907137456817966,123.45398116111755,474,4097,bert-large-uncased,hils,no,no,0,24_25,delta,no,no,2,yes
