model,n_folds,mae,mse,rmse,r2,r,elapsed_time,n_samples,n_features,transformer,scale,X_pca,scaled_data,run_nbr,layers,target,delta_vec,emb_PCA,emb_pca_n,X_added_t1_score
ridge,5,3.0834543127025045,17.501662394572076,4.172170426513155,0.3563090528495015,0.6023931418321865,45.78515267372131,474,9,bert-large-uncased,hils,no,no,0,24_25,delta,no,yes,2,yes
ridge,5,2.9108400999246866,14.626775577682096,3.805144918655362,0.4587678781904282,0.6842702017453414,43.98093628883362,474,65,bert-large-uncased,hils,no,no,0,24_25,delta,no,yes,16,yes
ridge,5,2.9381697427477143,14.742801071873412,3.8183104102447887,0.448613256547042,0.6888898108616454,42.8134024143219,474,129,bert-large-uncased,hils,no,no,0,24_25,delta,no,yes,32,yes
ridge,5,3.195390937047862,17.16252596524644,4.1262060067602935,0.3565256182509658,0.6473209633133453,44.4260880947113,474,257,bert-large-uncased,hils,no,no,0,24_25,delta,no,yes,64,yes
ridge,5,3.5315726766255464,20.16979253341376,4.483350361373705,0.2401586497537318,0.5970639918830095,47.60772752761841,474,513,bert-large-uncased,hils,no,no,0,24_25,delta,no,yes,128,yes
ridge,5,3.318647039578157,18.06243139785284,4.234650471618603,0.32550527095672,0.626185758827859,46.2002158164978,474,1025,bert-large-uncased,hils,no,no,0,24_25,delta,no,yes,256,yes
ridge,5,3.266007219329963,19.38604431915291,4.387997091171945,0.2895832701615121,0.5465132472836185,47.53757905960083,474,5,bert-large-uncased,hils,no,no,0,24_25,delta,yes,yes,2,yes
ridge,5,3.210317260193108,17.61745186691743,4.180917670144035,0.3557039916298358,0.6012744433166425,43.34820938110352,474,33,bert-large-uncased,hils,no,no,0,24_25,delta,yes,yes,16,yes
ridge,5,3.198581400990689,17.56616186099991,4.176768523129034,0.3546047573156778,0.6119429003243299,42.529834508895874,474,65,bert-large-uncased,hils,no,no,0,24_25,delta,yes,yes,32,yes
ridge,5,3.438334055567895,19.59614076890014,4.4154101471935885,0.2764344277062916,0.5697788671173661,43.35364365577698,474,129,bert-large-uncased,hils,no,no,0,24_25,delta,yes,yes,64,yes
ridge,5,3.759756432879128,22.75311605518638,4.762566297002198,0.1555235836928213,0.518354428029792,47.087130308151245,474,257,bert-large-uncased,hils,no,no,0,24_25,delta,yes,yes,128,yes
ridge,5,3.610078898751187,20.6220758824492,4.527913570590664,0.2404412223773182,0.562978244943942,48.21548008918762,474,513,bert-large-uncased,hils,no,no,0,24_25,delta,yes,yes,256,yes
ridge,5,3.362715998091457,22.049415973722564,4.677450317992424,0.1961695833964417,0.4548904293591611,45.92108011245728,474,8,bert-large-uncased,hils,no,no,0,24_25,delta,no,yes,2,no
ridge,5,3.203175078424284,19.1859552388596,4.357631331595297,0.2963864814966898,0.5664483488683181,45.13848686218262,474,64,bert-large-uncased,hils,no,no,0,24_25,delta,no,yes,16,no
ridge,5,3.223081238872223,19.39334954360952,4.385437393691477,0.287865954000687,0.569853195484268,46.162989139556885,474,128,bert-large-uncased,hils,no,no,0,24_25,delta,no,yes,32,no
ridge,5,3.56905090582181,22.83447239474385,4.767172465735822,0.1546932624872892,0.5073833135648125,47.52614784240723,474,256,bert-large-uncased,hils,no,no,0,24_25,delta,no,yes,64,no
ridge,5,4.019299792541341,27.10292451765532,5.199508143246241,-0.0105047429522296,0.4452884160933609,48.16751742362976,474,512,bert-large-uncased,hils,no,no,0,24_25,delta,no,yes,128,no
ridge,5,3.764307257231016,24.18131888830036,4.905610834964523,0.106372456768873,0.4800326329399819,48.895251512527466,474,1024,bert-large-uncased,hils,no,no,0,24_25,delta,no,yes,256,no
ridge,5,3.322290857974294,21.89619508938706,4.661582327962243,0.2005812506439751,0.4611856469519525,45.36147689819336,474,4,bert-large-uncased,hils,no,no,0,24_25,delta,yes,yes,2,no
ridge,5,3.3389149458647984,20.615931712810017,4.5233463425977,0.2435927771596858,0.5129520367862413,42.44299983978272,474,32,bert-large-uncased,hils,no,no,0,24_25,delta,yes,yes,16,no
ridge,5,3.3336732036122063,20.854027675946764,4.54981214011122,0.2349115997788014,0.5199186255011126,42.781999588012695,474,64,bert-large-uncased,hils,no,no,0,24_25,delta,yes,yes,32,no
ridge,5,3.635736664646896,23.286848500228576,4.814096968728249,0.1394935539022648,0.4684172107927249,47.25899910926819,474,128,bert-large-uncased,hils,no,no,0,24_25,delta,yes,yes,64,no
ridge,5,3.9607257009212495,26.23070902492018,5.11371681432501,0.0257656617963224,0.431732273637159,47.60599946975708,474,256,bert-large-uncased,hils,no,no,0,24_25,delta,yes,yes,128,no
ridge,5,3.902219256705976,24.656185004737512,4.9561512397749015,0.0875343460052948,0.4646021029058546,48.42599368095398,474,512,bert-large-uncased,hils,no,no,0,24_25,delta,yes,yes,256,no
ridge,5,3.6525871015351705,22.997028322594776,4.783007235460298,0.1496166700517892,0.4972391299202273,67.09101223945618,474,4096,bert-large-uncased,hils,no,no,0,24_25,delta,no,no,2,no
ridge,5,3.5132950558264,21.710085616851234,4.650565684212252,0.1944152002918586,0.5108944903074463,57.657800912857056,474,2048,bert-large-uncased,hils,no,no,0,24_25,delta,yes,no,2,no
ridge,5,3.3944262402104517,19.776166418408565,4.4386710671936696,0.2648601838645855,0.5666435205386944,54.79856467247009,474,2049,bert-large-uncased,hils,no,no,0,24_25,delta,yes,no,2,yes
ridge,5,3.256698740517117,17.45700865405524,4.163281592910479,0.3473384641948328,0.6340786710548338,60.45165014266968,474,4097,bert-large-uncased,hils,no,no,0,24_25,delta,no,no,2,yes
