model,n_folds,mae,mse,rmse,r2,r,elapsed_time,n_samples,n_features,transformer,scale,X_pca,scaled_data,run_nbr,layers,target,delta_vec,emb_PCA,emb_pca_n,X_added_t1_score
ak_struct_reg,5,2.9159941035342243,17.0681508048852,4.109212628771975,0.3673586829959568,0.6532343065614803,576.2294046878815,474,9,roberta-base,hils,no,no,0,12_13,delta,no,yes,2,yes
ak_struct_reg,5,1.2549945548912644,3.9346137576251135,1.6910672942727245,0.8271649035272883,0.9068306549122508,656.3263339996338,474,65,roberta-base,hils,no,no,0,12_13,delta,no,yes,16,yes
ak_struct_reg,5,0.593466597624219,3.1024072592331904,0.8016070734948343,0.851838939419266,0.9072534932836938,538.9253273010254,474,129,roberta-base,hils,no,no,0,12_13,delta,no,yes,32,yes
ak_struct_reg,5,1.4930028710847203,6.216614265248306,2.219266387358844,0.7347269679003274,0.8584835685584222,855.8222467899323,474,257,roberta-base,hils,no,no,0,12_13,delta,no,yes,64,yes
ak_struct_reg,5,3.333597253780616,27.8641213765576,5.2460516023821295,-0.0021632318466484,,1041.635505437851,474,513,roberta-base,hils,no,no,0,12_13,delta,no,yes,128,yes
ak_struct_reg,5,2.166632808376175,10.4114394289605,3.1784399356620634,0.5898550334374577,0.8203759217561121,1550.6267113685608,474,1025,roberta-base,hils,no,no,0,12_13,delta,no,yes,256,yes
ak_struct_reg,5,3.243158595884701,23.643417569038004,4.8446457818251885,0.1368789595333924,0.4012813143212687,461.7746801376343,474,5,roberta-base,hils,no,no,0,12_13,delta,yes,yes,2,yes
ak_struct_reg,5,1.5243971935965843,8.15216134345469,2.6203549548269964,0.6466332352465443,0.7857596686709589,565.1705203056335,474,33,roberta-base,hils,no,no,0,12_13,delta,yes,yes,16,yes
ak_struct_reg,5,1.0335551129306553,4.083088350555338,1.5401100305849431,0.8124976586475464,0.8883438069925573,558.6275849342346,474,65,roberta-base,hils,no,no,0,12_13,delta,yes,yes,32,yes
ak_struct_reg,5,3.0615728154000883,19.69383086624465,4.427357132827892,0.2609144876809663,0.509383841675365,739.3342740535736,474,129,roberta-base,hils,no,no,0,12_13,delta,yes,yes,64,yes
ak_struct_reg,5,0.7400809758627935,4.6798235920621805,0.994561280698932,0.7765119673740408,0.8705635902657096,704.769629240036,474,257,roberta-base,hils,no,no,0,12_13,delta,yes,yes,128,yes
