model,n_folds,mae,mse,rmse,r2,r,elapsed_time,n_samples,n_features,transformer,scale,X_pca,scaled_data,run_nbr,layers,target,delta_vec,emb_PCA,emb_pca_n,X_added_t1_score
blr,5,3.4201175994568884,21.494766090182026,4.617995441179312,0.2164383047543185,0.4725825884201315,53.32816529273987,474,9,roberta-base,hils,no,no,0,12_13,delta,no,yes,2,yes
blr,5,2.902440151764688,14.796129129514526,3.826742110213056,0.4524329978411841,0.6796160217822673,54.232977628707886,474,65,roberta-base,hils,no,no,0,12_13,delta,no,yes,16,yes
blr,5,2.8251037143223785,14.423867462159585,3.778778756073463,0.4664113301820159,0.6877951188089617,54.03100514411926,474,129,roberta-base,hils,no,no,0,12_13,delta,no,yes,32,yes
blr,5,2.794718269731928,14.338219999638412,3.7683385531540607,0.4687789431179968,0.6909603741227387,57.35832381248474,474,257,roberta-base,hils,no,no,0,12_13,delta,no,yes,64,yes
blr,5,2.825465017742455,14.434152171387105,3.782774154853706,0.4644413330830593,0.6883005555073762,61.76929807662964,474,513,roberta-base,hils,no,no,0,12_13,delta,no,yes,128,yes
blr,5,2.833305306518876,14.509328903229104,3.792635384991204,0.4608152633109412,0.6856208279898708,66.56730008125305,474,1025,roberta-base,hils,no,no,0,12_13,delta,no,yes,256,yes
blr,5,3.528334724686706,24.231479868715365,4.901046292034841,0.1199562732959878,0.3606652326740529,59.69177055358887,474,5,roberta-base,hils,no,no,0,12_13,delta,yes,yes,2,yes
blr,5,3.077965887764954,17.701469265799915,4.173754633411103,0.3489473238935838,0.6114247063116884,56.66844034194946,474,33,roberta-base,hils,no,no,0,12_13,delta,yes,yes,16,yes
blr,5,3.0360516976275456,17.467381871927696,4.14978208152966,0.3572659079381175,0.6153896268964743,58.27642035484314,474,65,roberta-base,hils,no,no,0,12_13,delta,yes,yes,32,yes
blr,5,3.160353921213276,18.871749359172693,4.315301798212966,0.309264180429339,0.5823351412693368,58.92865800857544,474,129,roberta-base,hils,no,no,0,12_13,delta,yes,yes,64,yes
blr,5,3.1989063898334296,18.74721575128772,4.304369800689626,0.3152537422255589,0.5793812184628127,60.97928333282471,474,257,roberta-base,hils,no,no,0,12_13,delta,yes,yes,128,yes
blr,5,3.224980240449496,18.995722005103467,4.3359567283540965,0.3041441570352974,0.5705112117988236,64.83687567710876,474,513,roberta-base,hils,no,no,0,12_13,delta,yes,yes,256,yes
blr,5,3.531700899963962,27.96031252365767,5.253040174220229,-0.0049723007443667,0.1086180785899602,55.7405161857605,474,8,roberta-base,hils,no,no,0,12_13,delta,no,yes,2,no
blr,5,3.212248602668552,19.68673280045535,4.419514292722448,0.2750603261517985,0.5476009212968673,57.67443490028381,474,64,roberta-base,hils,no,no,0,12_13,delta,no,yes,16,no
blr,5,3.2017979285913105,19.676374857714773,4.417549812080206,0.2781065914328806,0.5481027600873694,59.63933610916138,474,128,roberta-base,hils,no,no,0,12_13,delta,no,yes,32,no
blr,5,3.191687971597628,19.80919889503929,4.432778870198365,0.2741752582885516,0.5471726509109395,60.79990696907044,474,256,roberta-base,hils,no,no,0,12_13,delta,no,yes,64,no
blr,5,3.231443861085419,20.183537468106685,4.473621177829004,0.2595258379649823,0.5383807989698833,66.01974582672119,474,512,roberta-base,hils,no,no,0,12_13,delta,no,yes,128,no
blr,5,3.237763968175013,20.219231481049,4.478835372841372,0.2573536320616099,0.5358735252505034,72.76894164085388,474,1024,roberta-base,hils,no,no,0,12_13,delta,no,yes,256,no
blr,5,3.3583284394509567,28.15766935892925,5.269696956128281,-0.0099395766879804,0.0777659371083801,61.09975266456604,474,4,roberta-base,hils,no,no,0,12_13,delta,yes,yes,2,no
blr,5,3.3836632751002584,22.30643169628194,4.7013090381580165,0.1785252845836605,0.4734050794016965,56.06137776374817,474,32,roberta-base,hils,no,no,0,12_13,delta,yes,yes,16,no
blr,5,3.4256376253944643,23.279681156841463,4.800539690078898,0.1500608138078514,0.4376930509039305,56.45099949836731,474,64,roberta-base,hils,no,no,0,12_13,delta,yes,yes,32,no
blr,5,3.518745857438561,24.613315909792835,4.929786324052072,0.109566923304698,0.3902538135490406,56.45600152015686,474,128,roberta-base,hils,no,no,0,12_13,delta,yes,yes,64,no
blr,5,3.532303525967813,24.9333360632564,4.962486482759863,0.099306415032926,0.3640979950411044,58.16400003433228,474,256,roberta-base,hils,no,no,0,12_13,delta,yes,yes,128,no
blr,5,3.5704780799184577,25.03804946932301,4.976435660371227,0.0923719222393731,0.3580883569181201,63.79961061477661,474,512,roberta-base,hils,no,no,0,12_13,delta,yes,yes,256,no
blr,5,3.2369666262308945,20.183425954886868,4.474846327747743,0.258510856771706,0.5368929148581957,100.84135699272156,474,3072,roberta-base,hils,no,no,0,12_13,delta,no,no,2,no
blr,5,3.1535958028368705,18.69789618010136,4.311454511803455,0.307680977478637,0.5733994504120591,75.09320259094238,474,1536,roberta-base,hils,no,no,0,12_13,delta,yes,no,2,no
blr,5,3.091814948910067,16.951355569117702,4.103629607226158,0.3720477156166457,0.6191012022864019,79.19970083236694,474,1537,roberta-base,hils,no,no,0,12_13,delta,yes,no,2,yes
blr,5,2.832203980774151,14.493326463686753,3.790502120506214,0.46128537005930853,0.6859422217756884,104.30361771583557,474,3073,roberta-base,hils,no,no,0,12_13,delta,no,no,2,yes
