model,n_folds,mae,mse,rmse,r2,r,elapsed_time,n_samples,n_features,transformer,scale,X_pca,scaled_data,run_nbr,layers,target,delta_vec,emb_PCA,emb_pca_n,X_added_t1_score
ridge,5,3.410012785115839,21.152037469215664,4.583808258337602,0.2260517557660486,0.482469449024751,45.43147468566895,474,9,roberta-base,hils,no,no,0,12_13,delta,no,yes,2,yes
ridge,5,2.902926867084326,14.717209162955475,3.8161392357148913,0.4552311287304702,0.6810883689446182,40.09918165206909,474,65,roberta-base,hils,no,no,0,12_13,delta,no,yes,16,yes
ridge,5,2.829886414164362,14.361732152924477,3.770214414484679,0.4679593185834838,0.688449329495399,41.494009017944336,474,129,roberta-base,hils,no,no,0,12_13,delta,no,yes,32,yes
ridge,5,2.810494631425718,14.39237839580569,3.776388641375797,0.465611486101139,0.6892520766700502,47.72002506256104,474,257,roberta-base,hils,no,no,0,12_13,delta,no,yes,64,yes
ridge,5,2.881093083915594,14.626352881997132,3.810060762789632,0.4554183299023203,0.6832588324741277,47.431052684783936,474,513,roberta-base,hils,no,no,0,12_13,delta,no,yes,128,yes
ridge,5,2.86747539888396,14.602763966957482,3.806781628102722,0.4560057230823252,0.6822953809262734,45.31699967384338,474,1025,roberta-base,hils,no,no,0,12_13,delta,no,yes,256,yes
ridge,5,3.5547802595701774,24.248807473699188,4.90555534760482,0.116974046097561,0.3590947470040065,47.94617438316345,474,5,roberta-base,hils,no,no,0,12_13,delta,yes,yes,2,yes
ridge,5,3.071096757028858,17.53269197997807,4.151486529290591,0.352081604377587,0.6171629681547575,43.43481159210205,474,33,roberta-base,hils,no,no,0,12_13,delta,yes,yes,16,yes
ridge,5,2.9768092238074084,16.523449398564093,4.041287391548015,0.3858759237474803,0.6363009031718432,44.51745629310608,474,65,roberta-base,hils,no,no,0,12_13,delta,yes,yes,32,yes
ridge,5,3.149634566036952,18.263418489651947,4.249340454652518,0.3255823009626399,0.6000272437622706,42.22075176239014,474,129,roberta-base,hils,no,no,0,12_13,delta,yes,yes,64,yes
ridge,5,3.221384504806822,18.55206685928248,4.285706307475326,0.3197611552783669,0.5861200693472666,49.609556436538696,474,257,roberta-base,hils,no,no,0,12_13,delta,yes,yes,128,yes
ridge,5,3.251456076158186,18.805147232369723,4.318466446545452,0.3080098778470067,0.5761605172457349,48.26317286491394,474,513,roberta-base,hils,no,no,0,12_13,delta,yes,yes,256,yes
ridge,5,3.5656522858028112,26.648940262435616,5.131575655601409,0.0391174152150772,0.221526984545596,46.296424865722656,474,8,roberta-base,hils,no,no,0,12_13,delta,no,yes,2,no
ridge,5,3.213118679893884,19.473502715553657,4.395615294062365,0.282052992460056,0.5501953633296787,44.304959297180176,474,64,roberta-base,hils,no,no,0,12_13,delta,no,yes,16,no
ridge,5,3.227089647641006,19.608369794685835,4.4114787148691335,0.2777653560831444,0.5475125377143478,47.49422550201416,474,128,roberta-base,hils,no,no,0,12_13,delta,no,yes,32,no
ridge,5,3.2628211952736,19.99470784571628,4.456495565249111,0.2639992796684977,0.5420474674579246,49.15723705291748,474,256,roberta-base,hils,no,no,0,12_13,delta,no,yes,64,no
ridge,5,3.3338879229868668,20.627414486101173,4.52522890544919,0.2390362220072379,0.5249027013661962,49.6707136631012,474,512,roberta-base,hils,no,no,0,12_13,delta,no,yes,128,no
ridge,5,3.3203169415135654,20.538616896134133,4.5172886389016,0.2415046622351344,0.5241875674273626,50.88266062736511,474,1024,roberta-base,hils,no,no,0,12_13,delta,no,yes,256,no
ridge,5,3.4319434025907603,28.19627451103596,5.273643274147547,-0.011982818326533,0.0375201411493156,44.74693989753723,474,4,roberta-base,hils,no,no,0,12_13,delta,yes,yes,2,no
ridge,5,3.386150837313032,21.874286232829427,4.657376528716131,0.1901610631063944,0.4837473797734059,42.83199954032898,474,32,roberta-base,hils,no,no,0,12_13,delta,yes,yes,16,no
ridge,5,3.4018888593541297,22.04039741387802,4.678765236154921,0.1872001206909564,0.4718396737477771,43.1729998588562,474,64,roberta-base,hils,no,no,0,12_13,delta,yes,yes,32,no
ridge,5,3.543695604962722,24.00357373897805,4.874550929399477,0.1243779922071836,0.4198991263150285,46.9039990901947,474,128,roberta-base,hils,no,no,0,12_13,delta,yes,yes,64,no
ridge,5,3.629140194189103,24.783668339468868,4.954385960858194,0.096030113521272,0.3883177276237453,47.28300070762634,474,256,roberta-base,hils,no,no,0,12_13,delta,yes,yes,128,no
ridge,5,3.686738136430775,24.840501191046,4.966501138747921,0.0891445033698408,0.3807955248888434,48.91100072860718,474,512,roberta-base,hils,no,no,0,12_13,delta,yes,yes,256,no
ridge,5,3.298007607820568,20.41568096013124,4.503272262150496,0.2463863323213146,0.5287744756826236,59.756879568099976,474,3072,roberta-base,hils,no,no,0,12_13,delta,no,no,2,no
ridge,5,3.2649385702904183,19.437740280561503,4.40012834298941,0.2753062651722952,0.549858343526888,54.91883182525635,474,1536,roberta-base,hils,no,no,0,12_13,delta,yes,no,2,no
ridge,5,3.176903403960763,17.464158029395644,4.168142228652799,0.349181616454941,0.6038692285718932,55.2630558013916,474,1537,roberta-base,hils,no,no,0,12_13,delta,yes,no,2,yes
ridge,5,2.856470024165474,14.522761944481164,3.7960200406103253,0.45894039097698325,0.6839963662012871,63.837416648864746,474,3073,roberta-base,hils,no,no,0,12_13,delta,no,no,2,yes
