model,n_folds,mae,mse,rmse,r2,r,elapsed_time,n_samples,n_features,transformer,scale,X_pca,scaled_data,run_nbr,layers,target,delta_vec,emb_PCA,emb_pca_n,X_added_t1_score
ak_struct_reg,5,2.642695202210215,14.573168326736656,3.712889011126389,0.4455272248115067,0.6681879809642852,646.3229942321777,474,9,roberta-large,hils,no,no,0,24_25,delta,no,yes,2,yes
ak_struct_reg,5,3.1716516293123083,24.164251008290183,4.896101282664002,0.121552290572988,0.3885140745615466,843.4915130138397,474,65,roberta-large,hils,no,no,0,24_25,delta,no,yes,16,yes
ak_struct_reg,5,0.5523075803872386,2.524954560694179,0.7929380841294738,0.8795393395366778,0.926694255521462,667.1378018856049,474,129,roberta-large,hils,no,no,0,24_25,delta,no,yes,32,yes
ak_struct_reg,5,3.333596988762213,27.86412113956053,5.24605157865617,-0.00216322208912,,1224.6776440143583,474,257,roberta-large,hils,no,no,0,24_25,delta,no,yes,64,yes
ak_struct_reg,5,0.7721398140588507,3.6735067153804577,1.1907519498290238,0.8265072875564377,0.8930950438494968,1001.3869366645812,474,513,roberta-large,hils,no,no,0,24_25,delta,no,yes,128,yes
ak_struct_reg,5,0.8385533151441033,2.858714667962168,1.1761582954508902,0.8671317832624789,0.920275538133022,1835.615176677704,474,1025,roberta-large,hils,no,no,0,24_25,delta,no,yes,256,yes
ak_struct_reg,5,3.4377381674790173,22.41191983765994,4.716161854750961,0.1806461530086098,0.4266450610797064,660.0890047550201,474,5,roberta-large,hils,no,no,0,24_25,delta,yes,yes,2,yes
ak_struct_reg,5,0.6930037457691995,3.5274764764505853,1.0221411279705093,0.8324744127300828,0.908529632655872,639.9027125835419,474,33,roberta-large,hils,no,no,0,24_25,delta,yes,yes,16,yes
ak_struct_reg,5,1.0422495423425888,4.736728416620872,1.4952663459785165,0.7789402621746928,0.889521000395967,585.6161673069,474,65,roberta-large,hils,no,no,0,24_25,delta,yes,yes,32,yes
ak_struct_reg,5,1.0480546394650054,3.356333152024334,1.4095637124824305,0.8471653181843115,0.9092742498715932,728.3703153133392,474,129,roberta-large,hils,no,no,0,24_25,delta,yes,yes,64,yes
ak_struct_reg,5,0.653761843669855,3.535626507895937,0.8560445974060208,0.8311505334516968,0.892631983327162,942.052850484848,474,257,roberta-large,hils,no,no,0,24_25,delta,yes,yes,128,yes
ak_struct_reg,5,1.4616625218397092,6.0187522695785,2.254613479158605,0.749410422901228,0.8600587445055148,1370.9695615768433,474,513,roberta-large,hils,no,no,0,24_25,delta,yes,yes,256,yes
ak_struct_reg,5,3.333597039427496,27.86412118486864,5.246051583192001,-0.0021632239545238,,584.1633236408234,474,8,roberta-large,hils,no,no,0,24_25,delta,no,yes,2,no
ak_struct_reg,5,1.8428454055304224,7.163611403660073,2.594705373347386,0.7112607092863801,0.8501099464098832,563.5203001499176,474,64,roberta-large,hils,no,no,0,24_25,delta,no,yes,16,no
ak_struct_reg,5,1.7206285384405,7.759965130634046,2.6721086597903696,0.6897750919135313,0.8222041354865011,703.5622053146362,474,128,roberta-large,hils,no,no,0,24_25,delta,no,yes,32,no
ak_struct_reg,5,2.3004304149610064,11.882754316739776,3.4085973052495246,0.5507908667840494,0.7811952353121911,905.6964118480682,474,256,roberta-large,hils,no,no,0,24_25,delta,no,yes,64,no
ak_struct_reg,5,1.4116062209894518,5.28337210749752,2.034059544973888,0.7710370896990508,0.8721240534934547,1130.8604576587677,474,512,roberta-large,hils,no,no,0,24_25,delta,no,yes,128,no
ak_struct_reg,5,1.0552454764271637,4.146565028670038,1.5809195716859354,0.8107241855758243,0.8773760756490597,1616.942168712616,474,1024,roberta-large,hils,no,no,0,24_25,delta,no,yes,256,no
