model,n_folds,mae,mse,rmse,r2,r,elapsed_time,n_samples,n_features,transformer,scale,X_pca,scaled_data,run_nbr,layers,target,delta_vec,emb_PCA,emb_pca_n,X_added_t1_score
blr,5,3.5208881510120427,24.182370524114287,4.894396067340699,0.1225783493254427,0.3640088308932546,57.5935332775116,474,9,roberta-large,hils,no,no,0,24_25,delta,no,yes,2,yes
blr,5,2.789165624216498,13.710776635890914,3.687350772722152,0.4924312888005829,0.7053685643254133,58.54036951065064,474,65,roberta-large,hils,no,no,0,24_25,delta,no,yes,16,yes
blr,5,2.7859448630452404,13.704561892016958,3.6811499141665616,0.4939309277482621,0.7063221888781366,58.31849884986877,474,129,roberta-large,hils,no,no,0,24_25,delta,no,yes,32,yes
blr,5,2.823311459469661,14.176886653403455,3.742877588277656,0.4777158947514873,0.6950123912912697,60.24952530860901,474,257,roberta-large,hils,no,no,0,24_25,delta,no,yes,64,yes
blr,5,2.8399983961227377,14.251958186335742,3.755032416047636,0.4759080212275227,0.6922362616219611,65.20093512535095,474,513,roberta-large,hils,no,no,0,24_25,delta,no,yes,128,yes
blr,5,2.821548090453433,14.186020338794355,3.746062736387306,0.4778030698269978,0.6930877048826277,70.87049555778503,474,1025,roberta-large,hils,no,no,0,24_25,delta,no,yes,256,yes
blr,5,3.526054716900872,24.01146354142383,4.876489210991712,0.1289984647326281,0.3720309748444388,60.34733033180237,474,5,roberta-large,hils,no,no,0,24_25,delta,yes,yes,2,yes
blr,5,2.896930785833402,14.3372212022064,3.77630681989872,0.4678867836466307,0.6911252018353251,58.60804080963135,474,33,roberta-large,hils,no,no,0,24_25,delta,yes,yes,16,yes
blr,5,2.8645157700162684,13.915450012615567,3.719679049497761,0.4839086356516034,0.699907462225336,58.73301148414612,474,65,roberta-large,hils,no,no,0,24_25,delta,yes,yes,32,yes
blr,5,2.940589017486236,14.570015342532551,3.808417132843669,0.4619786172060809,0.6817966024757971,62.08877277374268,474,129,roberta-large,hils,no,no,0,24_25,delta,yes,yes,64,yes
blr,5,2.971242342444271,14.86320749435828,3.8469405894048783,0.4507122205895578,0.6737311182214336,63.06497883796692,474,257,roberta-large,hils,no,no,0,24_25,delta,yes,yes,128,yes
blr,5,2.965442072510954,14.96484817956053,3.859620660552003,0.4476563827992512,0.6709886328234265,72.19239830970764,474,513,roberta-large,hils,no,no,0,24_25,delta,yes,yes,256,yes
blr,5,3.33123936049658,28.004392771685776,5.257466870528349,-0.005894740732283,-0.0113693498117756,57.5710186958313,474,8,roberta-large,hils,no,no,0,24_25,delta,no,yes,2,no
blr,5,3.107693261960551,18.403645388315912,4.276607014802885,0.3190132726266884,0.5829831769119388,57.46547174453735,474,64,roberta-large,hils,no,no,0,24_25,delta,no,yes,16,no
blr,5,3.084680037933828,18.038360910240435,4.230834810416652,0.3344831632663334,0.5942123011295315,61.935412645339966,474,128,roberta-large,hils,no,no,0,24_25,delta,no,yes,32,no
blr,5,3.07412644268942,17.92385266688397,4.215069958788977,0.3409728334440856,0.5992543299063222,66.27584719657898,474,256,roberta-large,hils,no,no,0,24_25,delta,no,yes,64,no
blr,5,3.119895597576175,18.430098182433305,4.275217857242171,0.3229848689076268,0.5837433011293675,67.62361454963684,474,512,roberta-large,hils,no,no,0,24_25,delta,no,yes,128,no
blr,5,3.107873235822945,18.16962291000687,4.243921363015339,0.3325905359004787,0.591523789940481,73.53583455085754,474,1024,roberta-large,hils,no,no,0,24_25,delta,no,yes,256,no
blr,5,3.3288579804139085,27.934849457297865,5.251819906332313,-0.0040342919373404,-0.005518331315923,56.19218921661377,474,4,roberta-large,hils,no,no,0,24_25,delta,yes,yes,2,no
blr,5,3.124538346083398,18.195610316832333,4.255629356995306,0.3280186493911194,0.5846541913730662,55.67130470275879,474,32,roberta-large,hils,no,no,0,24_25,delta,yes,yes,16,no
blr,5,3.103183533365331,17.843330641308366,4.215844218262986,0.3403346874859215,0.5941732350693458,56.87699890136719,474,64,roberta-large,hils,no,no,0,24_25,delta,yes,yes,32,no
blr,5,3.14287649785729,18.286987142245582,4.266061342711616,0.3264697968140008,0.5817595702643621,58.04199957847595,474,128,roberta-large,hils,no,no,0,24_25,delta,yes,yes,64,no
blr,5,3.1603320712570704,18.683022769690176,4.312822255235031,0.3109080300630096,0.5728815412788669,60.21100115776062,474,256,roberta-large,hils,no,no,0,24_25,delta,yes,yes,128,no
blr,5,3.170319763746883,18.69588201045775,4.313606869462823,0.311639397702848,0.5712681904576924,64.56803512573242,474,512,roberta-large,hils,no,no,0,24_25,delta,yes,yes,256,no
blr,5,3.1015395287272622,18.15702351042601,4.242421402959128,0.3328434772331187,0.5925062307816985,123.16770505905151,474,4096,roberta-large,hils,no,no,0,24_25,delta,no,no,2,no
blr,5,2.9613982183914223,16.716809551136325,4.080530160777128,0.3791821093865595,0.6249570161969844,83.44481921195984,474,2048,roberta-large,hils,no,no,0,24_25,delta,yes,no,2,no
blr,5,2.960729847639056,15.490881650026935,3.923769533478207,0.4268087105251507,0.657500690604544,92.52129364013672,474,2049,roberta-large,hils,no,no,0,24_25,delta,yes,no,2,yes
blr,5,2.818186775252358,14.131612628570343,3.7388747339039936,0.4795206429225495,0.6945432652354346,128.67796540260315,474,4097,roberta-large,hils,no,no,0,24_25,delta,no,no,2,yes
