model,n_folds,mae,mse,rmse,r2,r,elapsed_time,n_samples,n_features,transformer,scale,X_pca,scaled_data,run_nbr,layers,target,delta_vec,emb_PCA,emb_pca_n,X_added_t1_score
ridge,5,3.558632723992396,24.271512463032344,4.902036743032366,0.1198697613393873,0.3599741202080073,45.98255443572998,474,9,roberta-large,hils,no,no,0,24_25,delta,no,yes,2,yes
ridge,5,2.7856527145680245,13.624206333651768,3.6758526905144633,0.4950900724866981,0.7068250186405162,41.33939695358277,474,65,roberta-large,hils,no,no,0,24_25,delta,no,yes,16,yes
ridge,5,2.807885394892465,13.786835445990254,3.690515487321488,0.4905162552451856,0.7043845655633081,42.69424867630005,474,129,roberta-large,hils,no,no,0,24_25,delta,no,yes,32,yes
ridge,5,2.939036888897835,15.093271414440256,3.863523182522144,0.442225748161698,0.6782826342045406,45.05616641044617,474,257,roberta-large,hils,no,no,0,24_25,delta,no,yes,64,yes
ridge,5,2.9878129491166456,15.49469928453416,3.919895665576492,0.4277765018382795,0.6676180947087331,46.714134216308594,474,513,roberta-large,hils,no,no,0,24_25,delta,no,yes,128,yes
ridge,5,2.941971964223125,15.03859736899103,3.860668987800405,0.4438833991852743,0.6742831736024645,48.35384297370911,474,1025,roberta-large,hils,no,no,0,24_25,delta,no,yes,256,yes
ridge,5,3.5499391979709736,24.06233340494284,4.880382700337266,0.127674879441214,0.3697576425451127,50.738998889923096,474,5,roberta-large,hils,no,no,0,24_25,delta,yes,yes,2,yes
ridge,5,2.889984707511419,14.22661811475733,3.7613814311443954,0.4716113918980085,0.6929558000535321,44.511998414993286,474,33,roberta-large,hils,no,no,0,24_25,delta,yes,yes,16,yes
ridge,5,2.866330337424703,13.809439662071153,3.7045088428098816,0.4872767360318032,0.701664816300876,42.49000000953674,474,65,roberta-large,hils,no,no,0,24_25,delta,yes,yes,32,yes
ridge,5,2.9944886264572,14.813424691680089,3.841917087154589,0.4507934564921064,0.6779291162069192,44.60621500015259,474,129,roberta-large,hils,no,no,0,24_25,delta,yes,yes,64,yes
ridge,5,3.0978163895265207,15.63223099555058,3.94814571504354,0.4187572728040322,0.6580405537329264,48.5579993724823,474,257,roberta-large,hils,no,no,0,24_25,delta,yes,yes,128,yes
ridge,5,3.120153154638765,16.006516891064663,3.994587845495929,0.4065082716303154,0.6495603742870845,51.77400016784668,474,513,roberta-large,hils,no,no,0,24_25,delta,yes,yes,256,yes
ridge,5,3.441405081778207,28.085825108975783,5.262944080085038,-0.0076604281214413,0.057994736890529,48.51548075675965,474,8,roberta-large,hils,no,no,0,24_25,delta,no,yes,2,no
ridge,5,3.1049436535670525,18.2072353936278,4.254209250002691,0.3248124189868362,0.5860264834109536,47.82993149757385,474,64,roberta-large,hils,no,no,0,24_25,delta,no,yes,16,no
ridge,5,3.107931075477059,17.926427247073118,4.217668140415439,0.3361921072881,0.5946159225905097,48.322253704071045,474,128,roberta-large,hils,no,no,0,24_25,delta,no,yes,32,no
ridge,5,3.170331052507352,18.36605486735344,4.269875995370055,0.321032357462217,0.5888846625603303,48.632832527160645,474,256,roberta-large,hils,no,no,0,24_25,delta,no,yes,64,no
ridge,5,3.334006591644884,19.72929329102591,4.428711163269999,0.2699698737688064,0.5556528813950056,50.00658440589905,474,512,roberta-large,hils,no,no,0,24_25,delta,no,yes,128,no
ridge,5,3.269382770456894,18.88562900889469,4.330591558943615,0.3020135775787263,0.572348948845311,50.62716603279114,474,1024,roberta-large,hils,no,no,0,24_25,delta,no,yes,256,no
ridge,5,3.40343065528714,27.73571506799105,5.23128471189972,0.0041847532526084,0.0932259503591945,44.42886710166931,474,4,roberta-large,hils,no,no,0,24_25,delta,yes,yes,2,no
ridge,5,3.1236283113448904,18.051470026228,4.239353715939513,0.3322951932042426,0.586746883724789,43.20599961280823,474,32,roberta-large,hils,no,no,0,24_25,delta,yes,yes,16,no
ridge,5,3.126913127194233,17.687718277568955,4.199208759445567,0.3433614576655671,0.5964181791614098,45.54699993133545,474,64,roberta-large,hils,no,no,0,24_25,delta,yes,yes,32,no
ridge,5,3.218100543833767,18.43330519816223,4.2860350539536265,0.3173354116291717,0.5805772596426755,46.67899966239929,474,128,roberta-large,hils,no,no,0,24_25,delta,yes,yes,64,no
ridge,5,3.3300920514972567,19.53332100957477,4.414517785102598,0.2726867553569781,0.5562690087528407,47.9499979019165,474,256,roberta-large,hils,no,no,0,24_25,delta,yes,yes,128,no
ridge,5,3.3663870054732308,19.74123400549332,4.436675986644008,0.2684536803793956,0.5493758874498724,47.97900080680847,474,512,roberta-large,hils,no,no,0,24_25,delta,yes,yes,256,no
ridge,5,3.225470113712978,18.68627649441115,4.3066941215339885,0.3097603121334787,0.5784390835421847,63.19064950942993,474,4096,roberta-large,hils,no,no,0,24_25,delta,no,no,2,no
ridge,5,3.0281771897867698,17.21674015172443,4.14354397448115,0.3567490677068446,0.6100611835823637,55.59414267539978,474,2048,roberta-large,hils,no,no,0,24_25,delta,yes,no,2,no
ridge,5,3.0515138176432464,16.182392880109944,4.010887954247222,0.3978402325264127,0.6407873633580234,58.44442701339722,474,2049,roberta-large,hils,no,no,0,24_25,delta,yes,no,2,yes
ridge,5,2.9110323596997993,14.755980414999016,3.8236409259477995,0.45434936968885664,0.680344829822006,62.90678524971008,474,4097,roberta-large,hils,no,no,0,24_25,delta,no,no,2,yes
