model,n_folds,mae,mse,rmse,r2,r,elapsed_time,n_samples,n_features,transformer,scale,X_pca,scaled_data,run_nbr,layers,target,delta_vec,emb_PCA,emb_pca_n,X_added_t1_score
ak_struct_reg,5,3.478596231529089,22.08594793634652,4.694493999329019,0.5382521272911649,0.7373831192824174,373.83323073387146,948,4,bert-base-uncased,hils,no,no,0,12_13,score,no,yes,2,no
ak_struct_reg,5,4.3372756736307085,32.73422663456657,5.7151572373618125,0.315480822279546,0.6300002628238761,147.77438735961914,948,32,bert-base-uncased,hils,no,no,0,12_13,score,no,yes,16,no
ak_struct_reg,5,4.656928148681293,34.70736909267667,5.883490317237088,0.2744481380632134,0.5946231219659108,186.17361092567444,948,64,bert-base-uncased,hils,no,no,0,12_13,score,no,yes,32,no
ak_struct_reg,5,4.745961922922031,35.21016361026775,5.928404353590599,0.263706917539848,0.5884069255870871,262.1217167377472,948,128,bert-base-uncased,hils,no,no,0,12_13,score,no,yes,64,no
ak_struct_reg,5,5.107593048773447,40.68166574711035,6.374099266478807,0.1499891308172846,0.5054394612914366,409.5618236064911,948,256,bert-base-uncased,hils,no,no,0,12_13,score,no,yes,128,no
ak_struct_reg,5,6.045599813793271,55.04272611448863,7.414004704948853,-0.1530115356810557,0.3217073009774174,703.2147896289825,948,512,bert-base-uncased,hils,no,no,0,12_13,score,no,yes,256,no
ak_struct_reg,5,5.554600873844632,48.0462559874043,6.930309023933485,-0.0026795908375808,,381.54216623306274,948,4,bert-base-uncased,hils,no,no,1,12_13,score,no,yes,2,no
ak_struct_reg,5,2.7857816914362155,13.630661817695565,3.636722875851457,0.7135468326440645,0.8489211045455856,487.38458919525146,948,32,bert-base-uncased,hils,no,no,1,12_13,score,no,yes,16,no
ak_struct_reg,5,3.244865760606698,16.796340146425763,4.080579291764698,0.6479554136538633,0.8326166313412454,547.5651080608368,948,64,bert-base-uncased,hils,no,no,1,12_13,score,no,yes,32,no
ak_struct_reg,5,2.932008824371024,14.865162243994646,3.8167987292518673,0.6877251704423472,0.8685393928592073,853.5162065029144,948,128,bert-base-uncased,hils,no,no,1,12_13,score,no,yes,64,no
ak_struct_reg,5,1.3921578745654748,7.101815021415142,1.7546313770066142,0.8464598161342876,0.9212014010752654,1325.2905271053314,948,256,bert-base-uncased,hils,no,no,1,12_13,score,no,yes,128,no
ak_struct_reg,5,3.0464522851632188,15.48745804123907,3.904524171157548,0.6748867295485662,0.830070097668117,2112.265261411667,948,512,bert-base-uncased,hils,no,no,1,12_13,score,no,yes,256,no
ak_struct_reg,5,2.4894516732745173,11.733878812508037,3.268253226334388,0.7524014640751785,0.8710570524389045,6601.785006046295,948,1536,bert-base-uncased,hils,no,no,0,12_13,score,no,no,2,no
ak_struct_reg,5,3.466693726903182,21.512889463029783,4.630779516844589,0.5501283542889178,0.7437165156837964,339.09883189201355,948,4,bert-base-uncased,hils,no,no,2,12_13,score,no,yes,2,no
ak_struct_reg,5,3.3735414438930205,18.58482519969341,4.303167397287725,0.6113557143822638,0.797372432356786,423.6779370307922,948,32,bert-base-uncased,hils,no,no,2,12_13,score,no,yes,16,no
ak_struct_reg,5,0.9959520711157857,7.122702758131524,1.3018740569828595,0.845425132542249,0.928656456942658,707.1871762275696,948,64,bert-base-uncased,hils,no,no,2,12_13,score,no,yes,32,no
ak_struct_reg,5,2.788377892131163,13.236558822905556,3.5824565194821902,0.7216233739379392,0.8721670332788651,666.3128249645233,948,128,bert-base-uncased,hils,no,no,2,12_13,score,no,yes,64,no
ak_struct_reg,5,2.792957231446715,13.396305352135446,3.6197687676279697,0.7183782307432616,0.8595732996504744,1084.7252538204193,948,256,bert-base-uncased,hils,no,no,2,12_13,score,no,yes,128,no
ak_struct_reg,5,3.194647375275186,16.07843366515611,3.960861867691766,0.6617726189421678,0.8491881032325186,1899.0236523151398,948,512,bert-base-uncased,hils,no,no,2,12_13,score,no,yes,256,no
