model,n_folds,mae,mse,rmse,r2,r,elapsed_time,n_samples,n_features,transformer,scale,X_pca,scaled_data,run_nbr,layers,target,delta_vec,emb_PCA,emb_pca_n,X_added_t1_score
ak_struct_reg,5,5.451716891187575,45.987854574582535,6.780776228305255,0.0397977594083764,0.2359833395984986,448.631331205368,948,4,roberta-large,hils,no,no,0,24_25,score,no,yes,2,no
ak_struct_reg,5,3.496450213105922,20.809503246836204,4.559223671398966,0.5645996877214522,0.7693863935461965,504.4808876514435,948,32,roberta-large,hils,no,no,0,24_25,score,no,yes,16,no
ak_struct_reg,5,3.4979199385211444,20.920017523371275,4.572190266960439,0.5624255580331641,0.7705034337733163,628.5188074111938,948,64,roberta-large,hils,no,no,0,24_25,score,no,yes,32,no
ak_struct_reg,5,5.6056773404721865,48.027500553609045,6.929013470683719,-0.0023188176108862,,751.3812522888184,948,128,roberta-large,hils,no,no,0,24_25,score,no,yes,64,no
ak_struct_reg,5,1.864124132760286,8.194613944760153,2.684812297932179,0.8260189528888517,0.9141417856160906,1250.641349554062,948,256,roberta-large,hils,no,no,0,24_25,score,no,yes,128,no
ak_struct_reg,5,2.476945091907243,11.35324714328422,3.287518373172209,0.7606299404186222,0.8897154958576865,2270.643183946609,948,512,roberta-large,hils,no,no,0,24_25,score,no,yes,256,no
ak_struct_reg,5,2.0528353131590897,8.588796912487883,2.804277321928134,0.8182992023188348,0.9133053231984792,6333.1320815086365,948,2048,roberta-large,hils,no,no,0,24_25,score,no,no,2,no
ak_struct_reg,5,5.444246311554235,45.53283203609773,6.746385945121051,0.0495882354960111,0.2428128261206261,364.4620907306671,948,4,roberta-large,hils,no,no,1,24_25,score,no,yes,2,no
ak_struct_reg,5,3.5199783061002825,21.050320493384067,4.58476244462292,0.559701071316065,0.7648867586245613,395.068959236145,948,32,roberta-large,hils,no,no,1,24_25,score,no,yes,16,no
ak_struct_reg,5,2.5877485078213045,13.455092014432816,3.429992748960344,0.7141332509189404,0.8532629284699536,521.1766922473907,948,64,roberta-large,hils,no,no,1,24_25,score,no,yes,32,no
ak_struct_reg,5,2.9864073854646653,14.248279041912324,3.7132023217268815,0.6999727831189707,0.8883452239532931,689.6261072158813,948,128,roberta-large,hils,no,no,1,24_25,score,no,yes,64,no
ak_struct_reg,5,2.4604657195889827,11.160261492884269,3.2596442109344244,0.764263377491173,0.8791641956561241,1186.318462848663,948,256,roberta-large,hils,no,no,1,24_25,score,no,yes,128,no
ak_struct_reg,5,1.597785726306632,6.811905464395876,2.250750710731115,0.8540574504797427,0.9233843992078897,1800.4540450572968,948,512,roberta-large,hils,no,no,1,24_25,score,no,yes,256,no
