model,n_folds,mae,mse,rmse,r2,r,elapsed_time,n_samples,n_features,transformer,scale,X_pca,scaled_data,run_nbr,layers,target,delta_vec,emb_PCA,emb_pca_n,X_added_t1_score
ak_struct_reg,5,2.493502634495397,11.482385034302917,3.376924086944076,0.440683718266566,0.6659626250791766,604.1883027553558,474,5,bert-base-uncased,swls,no,no,0,12_13,delta,yes,yes,2,yes
ak_struct_reg,5,2.7188572615298288,13.97541790491313,3.727509256770919,0.3197742470250758,0.5902504494015746,1034.9437594413755,474,33,bert-base-uncased,swls,no,no,0,12_13,delta,yes,yes,16,yes
ak_struct_reg,5,1.3892282066026167,5.867648614262552,1.997106439938132,0.6978154633623971,0.8292585277607959,705.3322005271912,474,65,bert-base-uncased,swls,no,no,0,12_13,delta,yes,yes,32,yes
ak_struct_reg,5,1.4446276693346454,5.349597761830278,1.912353366830129,0.7272530021147455,0.836589897823661,627.0223903656006,474,129,bert-base-uncased,swls,no,no,0,12_13,delta,yes,yes,64,yes
ak_struct_reg,5,0.9756286929534438,4.2396466225237095,1.3508618101707417,0.7797330163762797,0.8542810754295388,1264.9403431415558,474,257,bert-base-uncased,swls,no,no,0,12_13,delta,yes,yes,128,yes
ak_struct_reg,5,2.534553916431454,13.182071603168136,3.606812561893719,0.3572515762057182,0.6463096670216413,1170.4588057994845,474,513,bert-base-uncased,swls,no,no,0,12_13,delta,yes,yes,256,yes
ak_struct_reg,5,3.018936993527786,20.932925744286045,4.553193167338123,-0.0019776140848935,,361.0925886631012,474,8,bert-base-uncased,swls,no,no,0,12_13,delta,no,yes,2,no
ak_struct_reg,5,1.9533326240079127,8.816170969152067,2.8635378504282403,0.5595728249193341,0.7437911850559882,411.8599717617035,474,64,bert-base-uncased,swls,no,no,0,12_13,delta,no,yes,16,no
ak_struct_reg,5,1.7355270691224962,6.497649215303355,2.361374524563499,0.6757152659012069,0.8210248064216504,878.2630987167358,474,128,bert-base-uncased,swls,no,no,0,12_13,delta,no,yes,32,no
ak_struct_reg,5,1.4079001211226487,5.061839987966684,1.90767430658032,0.7398113254626859,0.8387264684720279,1126.9076974391935,474,256,bert-base-uncased,swls,no,no,0,12_13,delta,no,yes,64,no
ak_struct_reg,5,2.204274891869761,9.467370491731405,2.9986188882057023,0.5329363345788941,0.7388758907083132,1965.287335634232,474,512,bert-base-uncased,swls,no,no,0,12_13,delta,no,yes,128,no
ak_struct_reg,5,3.0189357738185167,20.93292570201023,4.553193163894386,-0.0019776125387006,,1629.5932357311249,474,1024,bert-base-uncased,swls,no,no,0,12_13,delta,no,yes,256,no
ak_struct_reg,5,2.291950216787259,10.579993363639804,3.185217259569725,0.4893108709478243,0.6944313068088653,482.7762818336487,474,4,bert-base-uncased,swls,no,no,0,12_13,delta,yes,yes,2,no
ak_struct_reg,5,2.24842699314062,9.59801732305579,3.0351160350937394,0.5253226752178748,0.7358492293460371,812.4697053432465,474,32,bert-base-uncased,swls,no,no,0,12_13,delta,yes,yes,16,no
ak_struct_reg,5,3.0189372108578016,20.93292575182677,4.553193167952614,-0.0019776143607937,,480.4014768600464,474,64,bert-base-uncased,swls,no,no,0,12_13,delta,yes,yes,32,no
ak_struct_reg,5,3.0189373453954302,20.93292575649604,4.553193168333146,-0.0019776145316489,,575.4056096076965,474,128,bert-base-uncased,swls,no,no,0,12_13,delta,yes,yes,64,no
ak_struct_reg,5,3.024640890743004,20.933949885381995,4.5533008093741,-0.0020261244672308,,990.0008444786072,474,256,bert-base-uncased,swls,no,no,0,12_13,delta,yes,yes,128,no
ak_struct_reg,5,1.9691859789412944,7.911487789106904,2.701301298822501,0.6098457536448476,0.7972460818656235,875.3099493980408,474,512,bert-base-uncased,swls,no,no,0,12_13,delta,yes,yes,256,no
ak_struct_reg,5,0.9306011984129368,5.055972077993959,1.4310914136260702,0.7377321256066924,0.8335064904017451,5687.048701524735,474,3072,bert-base-uncased,swls,no,no,0,12_13,delta,no,no,2,no
ak_struct_reg,5,0.6400562194866323,3.6665334887223446,0.8654595672817216,0.808331530444551,0.8744601254845279,3242.493788003921,474,1536,bert-base-uncased,swls,no,no,0,12_13,delta,yes,no,2,no
ak_struct_reg,5,1.868836011482405,6.967575833531383,2.531623899751437,0.6512913864159576,0.8073898852765387,5106.625025272369,474,1537,bert-base-uncased,swls,no,no,0,12_13,delta,yes,no,2,yes
ak_struct_reg,5,2.458017349991726,10.893122074228177,3.2857071904041417,0.46120097196129795,0.6828741110696173,7761.708254575729,474,3073,bert-base-uncased,swls,no,no,0,12_13,delta,no,no,2,yes
