model,n_folds,mae,mse,rmse,r2,r,elapsed_time,n_samples,n_features,transformer,scale,X_pca,scaled_data,run_nbr,layers,target,delta_vec,emb_PCA,emb_pca_n,X_added_t1_score
blr,5,2.946067322507824,16.073463859027903,4.000338267631954,0.2190561005458439,0.4792393140976163,60.64078664779663,474,5,bert-base-uncased,swls,no,no,0,12_13,delta,yes,yes,2,yes
blr,5,2.8712717729826416,15.499031834531037,3.9275539271405706,0.2471995998612592,0.5103455322594618,64.6412889957428,474,33,bert-base-uncased,swls,no,no,0,12_13,delta,yes,yes,16,yes
blr,5,2.905765603073836,15.679302457531682,3.94963051733629,0.2385806532206203,0.5031762928652335,64.74447464942932,474,65,bert-base-uncased,swls,no,no,0,12_13,delta,yes,yes,32,yes
blr,5,2.958475148565971,16.017373454241593,3.9909379878967486,0.2237210737502774,0.4884781466584145,66.6693651676178,474,129,bert-base-uncased,swls,no,no,0,12_13,delta,yes,yes,64,yes
blr,5,2.9633291348655018,16.008827754724106,3.99209857268792,0.2218101829316584,0.488548687693372,65.479487657547,474,257,bert-base-uncased,swls,no,no,0,12_13,delta,yes,yes,128,yes
blr,5,2.962685349798809,15.992444163239869,3.989498422177165,0.2234858167885793,0.4881670508232729,70.27504134178162,474,513,bert-base-uncased,swls,no,no,0,12_13,delta,yes,yes,256,yes
blr,5,2.8502831734671163,15.25585825172781,3.8989399670963634,0.2553486489287745,0.5193078536603432,62.06647562980652,474,9,bert-base-uncased,swls,no,no,0,12_13,delta,no,yes,2,yes
blr,5,2.8437473215184648,15.16807864575527,3.887871746648803,0.2616076591505017,0.5278498762139392,55.68066334724426,474,65,bert-base-uncased,swls,no,no,0,12_13,delta,no,yes,16,yes
blr,5,2.8627153281619786,15.394447826577828,3.917118934413942,0.2500011316023355,0.5165389016495491,59.69559144973755,474,129,bert-base-uncased,swls,no,no,0,12_13,delta,no,yes,32,yes
blr,5,2.8805907534148605,15.555739732188416,3.937200520117536,0.2426651559583403,0.5096677510503586,58.37251806259155,474,257,bert-base-uncased,swls,no,no,0,12_13,delta,no,yes,64,yes
blr,5,2.889789274753205,15.598221393699816,3.9432200790478538,0.239726793079193,0.5075576503115293,62.48699998855591,474,513,bert-base-uncased,swls,no,no,0,12_13,delta,no,yes,128,yes
blr,5,2.884905548864282,15.571049003548016,3.9393576560949137,0.2416796103992315,0.5081654547302208,69.00205135345459,474,1025,bert-base-uncased,swls,no,no,0,12_13,delta,no,yes,256,yes
blr,5,2.9766441165564563,17.631352642551324,4.1811111763371285,0.1528634679621186,0.4030869894948584,58.7711284160614,474,8,bert-base-uncased,swls,no,no,0,12_13,delta,no,yes,2,no
blr,5,2.9901834754986054,17.74501092443169,4.18683786255696,0.1541562411700241,0.4011940179430073,60.37750267982483,474,64,bert-base-uncased,swls,no,no,0,12_13,delta,no,yes,16,no
blr,5,3.0174651953070533,17.9918204355652,4.217180857789675,0.1412559691051364,0.3865982632250623,61.30008673667908,474,128,bert-base-uncased,swls,no,no,0,12_13,delta,no,yes,32,no
blr,5,3.0219265627317378,18.17513819071359,4.238454358910287,0.1325912903328773,0.3745684027887476,64.35523557662964,474,256,bert-base-uncased,swls,no,no,0,12_13,delta,no,yes,64,no
blr,5,3.0270772970607225,18.272626687978004,4.251183883153626,0.1270137979756678,0.3671303908459042,70.07012748718262,474,512,bert-base-uncased,swls,no,no,0,12_13,delta,no,yes,128,no
blr,5,3.0285557068420603,18.229468517099,4.245930179419382,0.1291813273116427,0.3702077976951295,74.45766186714172,474,1024,bert-base-uncased,swls,no,no,0,12_13,delta,no,yes,256,no
blr,5,3.0208399874685723,18.125363040468347,4.23506885218124,0.1331794707561192,0.3722749439636501,55.44096899032593,474,4,bert-base-uncased,swls,no,no,0,12_13,delta,yes,yes,2,no
blr,5,2.973397848113356,17.535571130321987,4.164699790791494,0.1619923061710074,0.4099801633657193,56.22499918937683,474,32,bert-base-uncased,swls,no,no,0,12_13,delta,yes,yes,16,no
blr,5,2.9854578103936307,17.587261182595405,4.170199475641573,0.1598928777707216,0.4087052859695214,56.811999797821045,474,64,bert-base-uncased,swls,no,no,0,12_13,delta,yes,yes,32,no
blr,5,3.010242113841391,17.865079258441362,4.201782228682522,0.1474911353042079,0.3939187646693595,58.008999824523926,474,128,bert-base-uncased,swls,no,no,0,12_13,delta,yes,yes,64,no
blr,5,3.0135180468742333,17.836994116831036,4.201609390240611,0.1466470211011969,0.3940265906056125,59.64820599555969,474,256,bert-base-uncased,swls,no,no,0,12_13,delta,yes,yes,128,no
blr,5,3.019044311324135,17.830032976814103,4.200402616585938,0.1472436135063378,0.3941051715697808,62.916316986083984,474,512,bert-base-uncased,swls,no,no,0,12_13,delta,yes,yes,256,no
blr,5,3.028468910948418,18.232166412067222,4.246333505284618,0.1289929281773595,0.3700707654851913,101.30285000801086,474,3072,bert-base-uncased,swls,no,no,0,12_13,delta,no,no,2,no
blr,5,2.9942307076399874,17.441414435385532,4.15370807323563,0.1653969957783045,0.4196119849681602,77.91047263145447,474,1536,bert-base-uncased,swls,no,no,0,12_13,delta,yes,no,2,no
blr,5,2.931055733578688,16.051363614623064,3.994988555190922,0.2225022578429763,0.4854895770286532,78.04842686653137,474,1537,bert-base-uncased,swls,no,no,0,12_13,delta,yes,no,2,yes
blr,5,2.8854382302167148,15.577095326151632,3.940218464309705,0.24125933576495512,0.5080191176182948,108.26275897026062,474,3073,bert-base-uncased,swls,no,no,0,12_13,delta,no,no,2,yes
