model,n_folds,mae,mse,rmse,r2,r,elapsed_time,n_samples,n_features,transformer,scale,X_pca,scaled_data,run_nbr,layers,target,delta_vec,emb_PCA,emb_pca_n,X_added_t1_score
random_forest,5,2.9816990999851423,18.177721430387944,4.245247797852039,0.1273805340633833,0.4040989078349828,99.45826768875122,474,5,bert-base-uncased,swls,no,no,0,12_13,delta,yes,yes,2,yes
random_forest,5,2.9534921291498257,17.95564005794586,4.221188862275559,0.1360533232880045,0.419946255116811,113.37861156463624,474,33,bert-base-uncased,swls,no,no,0,12_13,delta,yes,yes,16,yes
random_forest,5,2.970267455864971,18.15665839969716,4.24558321334633,0.1258316914124231,0.4095472571827552,106.3760108947754,474,65,bert-base-uncased,swls,no,no,0,12_13,delta,yes,yes,32,yes
random_forest,5,2.970274683170463,18.33505346851398,4.265917518664331,0.1178598664033768,0.4066687491518227,125.18118572235107,474,129,bert-base-uncased,swls,no,no,0,12_13,delta,yes,yes,64,yes
random_forest,5,2.9949064519001096,18.676975749821715,4.306826073733664,0.0999939238167101,0.3831519647599666,150.90092277526855,474,257,bert-base-uncased,swls,no,no,0,12_13,delta,yes,yes,128,yes
random_forest,5,3.005603567281798,18.923261348093533,4.335575311983408,0.0877098317508832,0.3673772777009538,229.2133586406708,474,513,bert-base-uncased,swls,no,no,0,12_13,delta,yes,yes,256,yes
random_forest,5,2.943034048571549,17.219641911316916,4.138015882209882,0.1666812575656336,0.440118958277053,95.27383327484132,474,9,bert-base-uncased,swls,no,no,0,12_13,delta,no,yes,2,yes
random_forest,5,2.951324136489127,17.508217067335753,4.172299007365083,0.1534844020897566,0.4432607682021536,114.25439381599426,474,65,bert-base-uncased,swls,no,no,0,12_13,delta,no,yes,16,yes
random_forest,5,2.9573888637041845,17.752233412450074,4.202170032929796,0.1408126069173793,0.4294497109430998,115.00886511802672,474,129,bert-base-uncased,swls,no,no,0,12_13,delta,no,yes,32,yes
random_forest,5,2.9770543426521585,18.30550649002664,4.2636342606368745,0.1178575186402046,0.4102845198206545,123.1128315925598,474,257,bert-base-uncased,swls,no,no,0,12_13,delta,no,yes,64,yes
random_forest,5,2.9772108610979173,18.284951945445904,4.2629294990679885,0.1171080023941156,0.419333177243461,207.70119500160217,474,513,bert-base-uncased,swls,no,no,0,12_13,delta,no,yes,128,yes
random_forest,5,2.989090099824813,18.65109597970834,4.303571112447815,0.1015015854934836,0.4109898882358411,318.2641294002533,474,1025,bert-base-uncased,swls,no,no,0,12_13,delta,no,yes,256,yes
random_forest,5,3.0027090691686174,18.501919141226505,4.283028817935175,0.1122182885924997,0.3516986234704879,108.12361669540404,474,8,bert-base-uncased,swls,no,no,0,12_13,delta,no,yes,2,no
random_forest,5,2.9770886566987174,19.10584529606356,4.352347145290824,0.0832774321827009,0.3282366586618969,107.72610425949097,474,64,bert-base-uncased,swls,no,no,0,12_13,delta,no,yes,16,no
random_forest,5,2.9842498519288725,19.352784421095446,4.378834160073141,0.0728724926057902,0.3075741872810856,120.50892233848572,474,128,bert-base-uncased,swls,no,no,0,12_13,delta,no,yes,32,no
random_forest,5,2.9978847045079533,19.5843646634788,4.404063841275283,0.0625791971976217,0.296399924187901,145.0349464416504,474,256,bert-base-uncased,swls,no,no,0,12_13,delta,no,yes,64,no
random_forest,5,3.016298842653008,19.92805786278666,4.440887310624344,0.0476255079848445,0.2524810583468394,162.5349338054657,474,512,bert-base-uncased,swls,no,no,0,12_13,delta,no,yes,128,no
random_forest,5,2.9949475251591102,20.065702361214058,4.457985623515702,0.0393827565428004,0.2661667513099539,268.25473737716675,474,1024,bert-base-uncased,swls,no,no,0,12_13,delta,no,yes,256,no
random_forest,5,3.043286655994513,19.005855219503268,4.336573850051453,0.0917219415907435,0.3201162895455992,88.29154753684998,474,4,bert-base-uncased,swls,no,no,0,12_13,delta,yes,yes,2,no
random_forest,5,3.0001836789250995,18.838881051371445,4.318467765567265,0.0987688214586151,0.3343283676141958,90.0930473804474,474,32,bert-base-uncased,swls,no,no,0,12_13,delta,yes,yes,16,no
random_forest,5,2.9941048396604053,19.01495749814038,4.338421884566452,0.0907712293963229,0.3247039372132239,108.91448426246644,474,64,bert-base-uncased,swls,no,no,0,12_13,delta,yes,yes,32,no
random_forest,5,3.0108259827926505,19.31136275125373,4.3724652759834495,0.0763600520274608,0.3002682890759046,106.8813807964325,474,128,bert-base-uncased,swls,no,no,0,12_13,delta,yes,yes,64,no
random_forest,5,3.0121274117185965,19.538657055511315,4.398634721940686,0.0649111987997554,0.2851195394632099,111.74669432640076,474,256,bert-base-uncased,swls,no,no,0,12_13,delta,yes,yes,128,no
random_forest,5,3.007199446958726,19.63721226817284,4.410935152715817,0.0591620494370757,0.2833933066734904,161.442400932312,474,512,bert-base-uncased,swls,no,no,0,12_13,delta,yes,yes,256,no
random_forest,5,2.9730865007452145,19.244424083964,4.361418748997162,0.0824317765472105,0.3429378654709817,740.8453540802002,474,3072,bert-base-uncased,swls,no,no,0,12_13,delta,no,no,2,no
