model,n_folds,mae,mse,rmse,r2,r,elapsed_time,n_samples,n_features,transformer,scale,X_pca,scaled_data,run_nbr,layers,target,delta_vec,emb_PCA,emb_pca_n,X_added_t1_score
ridge,5,2.950195756265369,16.065963511298442,3.9996029378412232,0.2191855897562852,0.4794831858206398,48.17453384399414,474,5,bert-base-uncased,swls,no,no,0,12_13,delta,yes,yes,2,yes
ridge,5,2.900683432416362,15.579346591856233,3.939971401343372,0.2399980108006154,0.5101072085710288,47.79743814468384,474,33,bert-base-uncased,swls,no,no,0,12_13,delta,yes,yes,16,yes
ridge,5,3.0072255047976344,16.273785336798234,4.02853639409522,0.2028421175936964,0.4935539941424357,47.18617796897888,474,65,bert-base-uncased,swls,no,no,0,12_13,delta,yes,yes,32,yes
ridge,5,3.250500157984282,18.96480312196719,4.34802184280246,0.0697136212732393,0.4298860446069982,51.3552713394165,474,129,bert-base-uncased,swls,no,no,0,12_13,delta,yes,yes,64,yes
ridge,5,3.5889438480083853,21.633097475880145,4.647925444408827,-0.068838323774436,0.383188703566345,51.567264556884766,474,257,bert-base-uncased,swls,no,no,0,12_13,delta,yes,yes,128,yes
ridge,5,3.5183412563012864,20.75751098051124,4.54962711966338,-0.0196418696849827,0.3965298753401326,54.32969403266907,474,513,bert-base-uncased,swls,no,no,0,12_13,delta,yes,yes,256,yes
ridge,5,2.8513171418810304,15.25817681455201,3.8992965860703217,0.2550585704448333,0.5191725184208879,45.18467354774475,474,9,bert-base-uncased,swls,no,no,0,12_13,delta,no,yes,2,yes
ridge,5,2.9149365653948656,15.444152587151162,3.922596501032378,0.2470165480280259,0.5241576370724604,40.186546087265015,474,65,bert-base-uncased,swls,no,no,0,12_13,delta,no,yes,16,yes
ridge,5,3.0340232892876307,16.653916159553688,4.075972914397988,0.1825348641073382,0.491252032621049,41.477888345718384,474,129,bert-base-uncased,swls,no,no,0,12_13,delta,no,yes,32,yes
ridge,5,3.3800037380408257,19.723726659582034,4.434937325868179,0.0274640062219281,0.4233840675602264,47.653111934661865,474,257,bert-base-uncased,swls,no,no,0,12_13,delta,no,yes,64,yes
ridge,5,3.731244149057999,23.473489402711685,4.840509347141377,-0.1608316609050522,0.3535663383048444,50.90992450714111,474,513,bert-base-uncased,swls,no,no,0,12_13,delta,no,yes,128,yes
ridge,5,3.4834014408922216,20.66045836965693,4.536735781124172,-0.0104262033217004,0.3996524662909963,47.40681028366089,474,1025,bert-base-uncased,swls,no,no,0,12_13,delta,no,yes,256,yes
ridge,5,2.9816136136344524,17.625179292419382,4.180652291529372,0.152775815549341,0.4019878808345315,49.4144344329834,474,8,bert-base-uncased,swls,no,no,0,12_13,delta,no,yes,2,no
ridge,5,3.1208833561510447,18.003374327285883,4.218392855867682,0.1383343338356624,0.412123159207139,48.55362296104431,474,64,bert-base-uncased,swls,no,no,0,12_13,delta,no,yes,16,no
ridge,5,3.2732701189955904,19.389687940892166,4.381904503695523,0.0669217116823377,0.3740586084539301,49.741291999816895,474,128,bert-base-uncased,swls,no,no,0,12_13,delta,no,yes,32,no
ridge,5,3.64596114376237,23.112323196904445,4.788883649944915,-0.1199277199102956,0.2929851674372529,51.13897919654846,474,256,bert-base-uncased,swls,no,no,0,12_13,delta,no,yes,64,no
ridge,5,4.037996270013177,27.69830080331432,5.251412703895141,-0.3556484078444759,0.2125055419095072,50.10177302360535,474,512,bert-base-uncased,swls,no,no,0,12_13,delta,no,yes,128,no
ridge,5,3.768918127632436,24.25494342482468,4.9084295130409386,-0.1766326967532125,0.2615762213677702,53.8065037727356,474,1024,bert-base-uncased,swls,no,no,0,12_13,delta,no,yes,256,no
ridge,5,3.0294730853472043,18.088336722331924,4.230875144418487,0.1347244508394297,0.3723786907933067,46.16218948364258,474,4,bert-base-uncased,swls,no,no,0,12_13,delta,yes,yes,2,no
ridge,5,3.079887727834071,18.034327938685745,4.22527700029349,0.1356958116264507,0.4009028332167531,44.32099890708923,474,32,bert-base-uncased,swls,no,no,0,12_13,delta,yes,yes,16,no
ridge,5,3.213135660172726,18.803064928940408,4.3158751329931935,0.0967401348634712,0.3858070806745554,46.44700002670288,474,64,bert-base-uncased,swls,no,no,0,12_13,delta,yes,yes,32,no
ridge,5,3.492286127392918,22.177897431890266,4.6862924368508345,-0.069373654578474,0.3093813742968074,48.12899923324585,474,128,bert-base-uncased,swls,no,no,0,12_13,delta,yes,yes,64,no
ridge,5,3.871126299329995,25.4067312486652,5.030391858760107,-0.2466053635717632,0.2619611398489347,48.44299983978272,474,256,bert-base-uncased,swls,no,no,0,12_13,delta,yes,yes,128,no
ridge,5,3.790477595366576,23.8067453725196,4.864477152083517,-0.1596474811450489,0.2871079926142267,48.63300013542175,474,512,bert-base-uncased,swls,no,no,0,12_13,delta,yes,yes,256,no
ridge,5,3.695169630015952,23.47082669861108,4.8305366608366125,-0.1405200064789663,0.2728038898891937,62.17341709136963,474,3072,bert-base-uncased,swls,no,no,0,12_13,delta,no,no,2,no
ridge,5,3.497312697924562,21.06156281672175,4.5770994481711575,-0.0262940422117411,0.3391012053408108,61.09808969497681,474,1536,bert-base-uncased,swls,no,no,0,12_13,delta,yes,no,2,no
ridge,5,3.403732707699596,19.58997993592846,4.417452766873339,0.0386690227704895,0.3936609231613726,55.020633935928345,474,1537,bert-base-uncased,swls,no,no,0,12_13,delta,yes,no,2,yes
ridge,5,3.3975311667930597,20.01301258967298,4.46687827013392,0.018908103312939593,0.4073262540244077,62.6596474647522,474,3073,bert-base-uncased,swls,no,no,0,12_13,delta,no,no,2,yes
