model,n_folds,mae,mse,rmse,r2,r,elapsed_time,n_samples,n_features,transformer,scale,X_pca,scaled_data,run_nbr,layers,target,delta_vec,emb_PCA,emb_pca_n,X_added_t1_score
ak_struct_reg,5,2.335907503652813,10.37102236944756,3.1584671979009435,0.4793891006764784,0.68850255980045,491.5690307617188,474,9,bert-large-uncased,swls,no,no,0,24_25,delta,no,yes,2,yes
ak_struct_reg,5,2.545830816039554,12.604304070771224,3.5355740968074114,0.3887605800649507,0.6551686864252113,937.31911611557,474,65,bert-large-uncased,swls,no,no,0,24_25,delta,no,yes,16,yes
ak_struct_reg,5,2.422162282339799,11.193573181729269,3.32813602098332,0.4505544267626026,0.6930370541718227,1180.501853466034,474,129,bert-large-uncased,swls,no,no,0,24_25,delta,no,yes,32,yes
ak_struct_reg,5,2.4176428756398054,11.378200713417888,3.3577068366948923,0.4396660278239245,0.6884477201516679,1091.6942300796509,474,257,bert-large-uncased,swls,no,no,0,24_25,delta,no,yes,64,yes
ak_struct_reg,5,3.019003703282168,20.9329370048482,4.553194450207415,-0.0019782027266184,,822.1530599594116,474,513,bert-large-uncased,swls,no,no,0,24_25,delta,no,yes,128,yes
ak_struct_reg,5,1.0724135266201027,4.144387154388003,1.4514868261420482,0.7846813885996302,0.8502381000937135,2573.5563173294067,474,1025,bert-large-uncased,swls,no,no,0,24_25,delta,no,yes,256,yes
ak_struct_reg,5,2.507899962562196,13.00562210013474,3.51593837068286,0.3560982698813252,0.6414104957499752,680.0000150203705,474,5,bert-large-uncased,swls,no,no,0,24_25,delta,yes,yes,2,yes
ak_struct_reg,5,2.3596213628921534,10.815646128308668,3.2604035995951053,0.4671448646858276,0.6998134443107042,689.8078172206879,474,33,bert-large-uncased,swls,no,no,0,24_25,delta,yes,yes,16,yes
ak_struct_reg,5,3.018937744573009,20.932925770355297,4.553193169462793,-0.0019776150388514,,567.0909626483917,474,65,bert-large-uncased,swls,no,no,0,24_25,delta,yes,yes,32,yes
ak_struct_reg,5,1.395487334322422,5.978748921103757,1.991080519068992,0.6936518302222708,0.7879283608957366,619.0211226940155,474,129,bert-large-uncased,swls,no,no,0,24_25,delta,yes,yes,64,yes
ak_struct_reg,5,2.3569958080751414,11.890219466575353,3.4152042146332087,0.4223413365570387,0.736650520831471,1832.0008096694944,474,257,bert-large-uncased,swls,no,no,0,24_25,delta,yes,yes,128,yes
ak_struct_reg,5,1.8495315807892687,7.3050039484538205,2.562573092867632,0.6364717976961191,0.7971488435804902,2258.206729650497,474,513,bert-large-uncased,swls,no,no,0,24_25,delta,yes,yes,256,yes
ak_struct_reg,5,2.7074362029227004,15.29086492346955,3.8878058601070977,0.2583041429793245,0.5101268433615289,466.6397714614868,474,8,bert-large-uncased,swls,no,no,0,24_25,delta,no,yes,2,no
ak_struct_reg,5,2.169700955368853,10.270642134192435,3.0907487670705605,0.4970908954860261,0.7266770181142178,506.3221287727356,474,64,bert-large-uncased,swls,no,no,0,24_25,delta,no,yes,16,no
ak_struct_reg,5,2.372627890660529,11.756749473375432,3.386279926570071,0.4322218271379585,0.6866770313483722,799.3863666057587,474,128,bert-large-uncased,swls,no,no,0,24_25,delta,no,yes,32,no
ak_struct_reg,5,1.4675223434164135,5.936329688467161,1.9931427452334816,0.6972188364700476,0.8308705181891461,888.2184963226318,474,256,bert-large-uncased,swls,no,no,0,24_25,delta,no,yes,64,no
ak_struct_reg,5,1.109362679972227,6.1196063731352055,1.945510815912424,0.6786604865679172,0.7953648794140108,879.2037909030914,474,512,bert-large-uncased,swls,no,no,0,24_25,delta,no,yes,128,no
ak_struct_reg,5,3.0189386360696018,20.9329258013369,4.553193171988915,-0.0019776161730646,,1524.9148888587952,474,1024,bert-large-uncased,swls,no,no,0,24_25,delta,no,yes,256,no
ak_struct_reg,5,2.46449409703892,12.290412624814843,3.4930977162427235,0.3921881225652367,0.6377964473504381,519.0872759819031,474,4,bert-large-uncased,swls,no,no,0,24_25,delta,yes,yes,2,no
ak_struct_reg,5,2.5857633287645667,14.261458811176713,3.746933199945465,0.315006921782292,0.6352740913054615,704.1282296180725,474,32,bert-large-uncased,swls,no,no,0,24_25,delta,yes,yes,16,no
ak_struct_reg,5,2.2040261413866533,10.660030378844032,3.1681973942656545,0.4869600079478791,0.7015567259705181,637.1171844005585,474,64,bert-large-uncased,swls,no,no,0,24_25,delta,yes,yes,32,no
ak_struct_reg,5,2.466771900370333,12.732300569946895,3.535482994838207,0.3825240937206294,0.6814844238257154,455.0081644058228,474,128,bert-large-uncased,swls,no,no,0,24_25,delta,yes,yes,64,no
ak_struct_reg,5,1.3025092202817974,4.942257162561469,1.7741883242865963,0.746478843713829,0.8196299683728654,976.5619397163392,474,256,bert-large-uncased,swls,no,no,0,24_25,delta,yes,yes,128,no
ak_struct_reg,5,1.1698251990054518,6.716053899599568,2.1410446751678167,0.6601843784004855,0.7653198971440243,1007.1445446014404,474,512,bert-large-uncased,swls,no,no,0,24_25,delta,yes,yes,256,no
ak_struct_reg,5,2.5518774625946,13.567155592902504,3.6486631293036,0.3461243536309222,0.6611425426647418,9098.793090820312,474,4096,bert-large-uncased,swls,no,no,0,24_25,delta,no,no,2,no
ak_struct_reg,5,1.1805913990344865,5.04318953945334,1.7545518875779145,0.743345869937795,0.8431489649865572,4005.9192476272574,474,2048,bert-large-uncased,swls,no,no,0,24_25,delta,yes,no,2,no
ak_struct_reg,5,0.887605124333788,3.936076850759678,1.2400142619616608,0.7951182656895489,0.8537912350201486,3102.474962949753,474,2049,bert-large-uncased,swls,no,no,0,24_25,delta,yes,no,2,yes
ak_struct_reg,5,1.9684394081910157,8.103115359798162,2.761466986712715,0.6046965179896591,0.7903589366976466,12504.422672510147,474,4097,bert-large-uncased,swls,no,no,0,24_25,delta,no,no,2,yes
