model,n_folds,mae,mse,rmse,r2,r,elapsed_time,n_samples,n_features,transformer,scale,X_pca,scaled_data,run_nbr,layers,target,delta_vec,emb_PCA,emb_pca_n,X_added_t1_score
blr,5,2.8646452620942604,15.63728948617053,3.94633769296079,0.2379629321186528,0.5019468526886125,55.90879034996033,474,5,bert-large-uncased,swls,no,no,0,24_25,delta,yes,yes,2,yes
blr,5,2.818529136765624,14.889543721524548,3.851756111433936,0.2747756075145587,0.5392288493819919,57.35888385772705,474,33,bert-large-uncased,swls,no,no,0,24_25,delta,yes,yes,16,yes
blr,5,2.83657701633214,15.304322715509777,3.9034767106503865,0.2550757426104834,0.518714476211706,59.773305892944336,474,65,bert-large-uncased,swls,no,no,0,24_25,delta,yes,yes,32,yes
blr,5,2.8463685228191133,15.530133624208185,3.9310369726661314,0.244824653972512,0.5079503027726548,61.98834156990051,474,129,bert-large-uncased,swls,no,no,0,24_25,delta,yes,yes,64,yes
blr,5,2.8612639597444725,15.677620792466792,3.9494481244218433,0.2379775395747817,0.5013260826631278,58.92199110984802,474,257,bert-large-uncased,swls,no,no,0,24_25,delta,yes,yes,128,yes
blr,5,2.8695795826090245,15.782870010961696,3.962384754556082,0.2337272536847277,0.4968012938250492,63.91054964065552,474,513,bert-large-uncased,swls,no,no,0,24_25,delta,yes,yes,256,yes
blr,5,2.857846065807599,15.575086006070956,3.939492443052285,0.2383484601569745,0.5026490829796826,62.33378529548645,474,9,bert-large-uncased,swls,no,no,0,24_25,delta,no,yes,2,yes
blr,5,2.8082983527834124,14.982043042595135,3.86631872191828,0.2660234409660816,0.5328919729600581,65.12387609481812,474,65,bert-large-uncased,swls,no,no,0,24_25,delta,no,yes,16,yes
blr,5,2.810764071010193,15.202869769131308,3.893060980380613,0.2567044936011317,0.5213250469625896,65.50599670410156,474,129,bert-large-uncased,swls,no,no,0,24_25,delta,no,yes,32,yes
blr,5,2.8219033090439005,15.296911166499957,3.903338344157356,0.2544326320202857,0.5147658570168051,66.98000121116638,474,257,bert-large-uncased,swls,no,no,0,24_25,delta,no,yes,64,yes
blr,5,2.835865503751792,15.49171563069713,3.928099261106856,0.2455035059779653,0.5064804366679917,76.43999791145325,474,513,bert-large-uncased,swls,no,no,0,24_25,delta,no,yes,128,yes
blr,5,2.83340917023432,15.495540376166938,3.928408076125592,0.2454706968700251,0.5063639084079641,79.47130846977234,474,1025,bert-large-uncased,swls,no,no,0,24_25,delta,no,yes,256,yes
blr,5,2.96108392570476,17.683566333431465,4.185160374549455,0.1509501138858489,0.4056521959084128,58.693965673446655,474,8,bert-large-uncased,swls,no,no,0,24_25,delta,no,yes,2,no
blr,5,2.938433429856504,17.36891755674182,4.145489480327012,0.1692057510731622,0.4231623664292982,64.65808653831482,474,64,bert-large-uncased,swls,no,no,0,24_25,delta,no,yes,16,no
blr,5,2.9837549234641267,17.69949286471178,4.185118879456957,0.1524042065918776,0.4042223268273368,60.6818950176239,474,128,bert-large-uncased,swls,no,no,0,24_25,delta,no,yes,32,no
blr,5,2.9942996988790056,17.8090063022764,4.195722471963434,0.1487583394697814,0.3972397232213563,61.53499841690064,474,256,bert-large-uncased,swls,no,no,0,24_25,delta,no,yes,64,no
blr,5,3.00042842691376,17.986660495568515,4.2163588838348485,0.1406545019291776,0.3878589599288392,66.0534942150116,474,512,bert-large-uncased,swls,no,no,0,24_25,delta,no,yes,128,no
blr,5,3.0061048790110503,18.02310217994063,4.220769621918111,0.1387165833353813,0.3856772212917254,71.11268019676208,474,1024,bert-large-uncased,swls,no,no,0,24_25,delta,no,yes,256,no
blr,5,2.93415436272004,17.458734942720017,4.157444967489139,0.1622195602637001,0.4193268318036109,56.937840700149536,474,4,bert-large-uncased,swls,no,no,0,24_25,delta,yes,yes,2,no
blr,5,2.8828080219131125,16.905100326508865,4.08819797081928,0.1922356842932559,0.4488097763377398,56.28999924659729,474,32,bert-large-uncased,swls,no,no,0,24_25,delta,yes,yes,16,no
blr,5,2.912366650654626,17.31396729425691,4.138648831561935,0.1708489250855338,0.4245823700024028,56.95099878311157,474,64,bert-large-uncased,swls,no,no,0,24_25,delta,yes,yes,32,no
blr,5,2.936882207819333,17.639428100111353,4.176007198033406,0.1557527392339606,0.4058438821197606,57.529999017715454,474,128,bert-large-uncased,swls,no,no,0,24_25,delta,yes,yes,64,no
blr,5,2.9384911083139977,17.737134123323873,4.187394169641191,0.1513460601933652,0.4010645749561144,64.26339101791382,474,256,bert-large-uncased,swls,no,no,0,24_25,delta,yes,yes,128,no
blr,5,2.938652178416787,17.8189538152883,4.196617065524485,0.1479753262043509,0.3963017071923683,63.97784185409546,474,512,bert-large-uncased,swls,no,no,0,24_25,delta,yes,yes,256,no
blr,5,3.0046193958438825,17.99443029120976,4.217309542978372,0.14012554072801,0.387478189625052,123.56134128570557,474,4096,bert-large-uncased,swls,no,no,0,24_25,delta,no,no,2,no
blr,5,2.958819974540447,17.26037771468187,4.133282860349837,0.1716632577679834,0.429431242273773,80.70150852203369,474,2048,bert-large-uncased,swls,no,no,0,24_25,delta,yes,no,2,no
blr,5,2.901817314748949,15.938050902197656,3.980233990168812,0.2267572327255846,0.4892350921208176,85.38798999786377,474,2049,bert-large-uncased,swls,no,no,0,24_25,delta,yes,no,2,yes
blr,5,2.8324995082774014,15.47295954902035,3.9255030110296074,0.24657602985888943,0.5073501144425332,128.22040343284607,474,4097,bert-large-uncased,swls,no,no,0,24_25,delta,no,no,2,yes
