model,n_folds,mae,mse,rmse,r2,r,elapsed_time,n_samples,n_features,transformer,scale,X_pca,scaled_data,run_nbr,layers,target,delta_vec,emb_PCA,emb_pca_n,X_added_t1_score
random_forest,5,2.977442085836122,17.66111074235722,4.18578832976217,0.1503604534882184,0.4027890724716546,99.6688358783722,474,5,bert-large-uncased,swls,no,no,0,24_25,delta,yes,yes,2,yes
random_forest,5,2.974064202711272,17.84245294770622,4.206875249677111,0.1423666728437418,0.4021451604473084,101.31047081947328,474,33,bert-large-uncased,swls,no,no,0,24_25,delta,yes,yes,16,yes
random_forest,5,2.9768716997697395,17.917595940704754,4.2165082346915765,0.1379477626640429,0.3992760930648737,110.19553875923155,474,65,bert-large-uncased,swls,no,no,0,24_25,delta,yes,yes,32,yes
random_forest,5,2.973777951991553,18.056725314766688,4.231457427056583,0.1328288381755528,0.4008055762876924,110.24203443527222,474,129,bert-large-uncased,swls,no,no,0,24_25,delta,yes,yes,64,yes
random_forest,5,2.9862396271358564,18.140585830717164,4.242758307053035,0.127186859599987,0.3884565846442454,120.17478013038637,474,257,bert-large-uncased,swls,no,no,0,24_25,delta,yes,yes,128,yes
random_forest,5,2.979466579556993,18.322189721034675,4.264428524684083,0.1182617684922417,0.3845584743049837,184.31464648246765,474,513,bert-large-uncased,swls,no,no,0,24_25,delta,yes,yes,256,yes
random_forest,5,2.969487968551477,17.432608400838497,4.165205708248188,0.154433370329414,0.4327397191209786,95.63079738616943,474,9,bert-large-uncased,swls,no,no,0,24_25,delta,no,yes,2,yes
random_forest,5,2.969897233442687,17.75074430990297,4.202412824006526,0.1402436721883169,0.4336528191486994,108.62974166870116,474,65,bert-large-uncased,swls,no,no,0,24_25,delta,no,yes,16,yes
random_forest,5,2.9789020239918886,18.012847364417077,4.2332758803731,0.1277655056139573,0.4260738097625888,114.96324300765993,474,129,bert-large-uncased,swls,no,no,0,24_25,delta,no,yes,32,yes
random_forest,5,2.975074775517955,18.06065636353373,4.238456425482856,0.1259397020368457,0.4353871631028628,132.72045302391052,474,257,bert-large-uncased,swls,no,no,0,24_25,delta,no,yes,64,yes
random_forest,5,2.992162475686953,18.478106304074487,4.286453660208293,0.1066013805940941,0.4143928601572156,198.4354157447815,474,513,bert-large-uncased,swls,no,no,0,24_25,delta,no,yes,128,yes
random_forest,5,3.02849688476592,19.006633142265088,4.34629309914834,0.0825844548306989,0.3711204480459729,284.90790033340454,474,1025,bert-large-uncased,swls,no,no,0,24_25,delta,no,yes,256,yes
random_forest,5,2.9668983351601983,18.878013898370963,4.323743574515764,0.0964678188915732,0.3378143070924869,112.6360638141632,474,8,bert-large-uncased,swls,no,no,0,24_25,delta,no,yes,2,no
random_forest,5,2.987816156847894,19.36090288547404,4.378115380392833,0.0739695273575083,0.3032575538819343,102.63487362861632,474,64,bert-large-uncased,swls,no,no,0,24_25,delta,no,yes,16,no
random_forest,5,2.991155616016679,19.53200897327389,4.397784740478221,0.0654295462955077,0.2831269928940416,140.22641515731812,474,128,bert-large-uncased,swls,no,no,0,24_25,delta,no,yes,32,no
random_forest,5,2.996605164077967,19.72400237044396,4.418480794818859,0.0569634155292082,0.2706805325072597,119.8021149635315,474,256,bert-large-uncased,swls,no,no,0,24_25,delta,no,yes,64,no
random_forest,5,2.981830380105551,19.90518893967834,4.437044640627651,0.0498219779382316,0.2719776746451997,149.7057626247406,474,512,bert-large-uncased,swls,no,no,0,24_25,delta,no,yes,128,no
random_forest,5,2.986109242067914,20.11845010884772,4.462977929350002,0.0376979260962778,0.2711264581815471,262.05363726615906,474,1024,bert-large-uncased,swls,no,no,0,24_25,delta,no,yes,256,no
random_forest,5,3.0513105002763536,18.952522843156668,4.335021651620229,0.0894020766792492,0.3219509692301351,86.15575194358826,474,4,bert-large-uncased,swls,no,no,0,24_25,delta,yes,yes,2,no
random_forest,5,2.995642592981079,18.735280529606563,4.30647086310193,0.1036794182701143,0.3403112982158723,97.71959781646729,474,32,bert-large-uncased,swls,no,no,0,24_25,delta,yes,yes,16,no
random_forest,5,2.991940463113651,18.85515381926634,4.321281535827497,0.0969264508927479,0.3336093717045273,104.93500971794128,474,64,bert-large-uncased,swls,no,no,0,24_25,delta,yes,yes,32,no
random_forest,5,2.9899663193112263,18.9922383644874,4.335575952859721,0.0916223973810708,0.3294260234330269,114.2623734474182,474,128,bert-large-uncased,swls,no,no,0,24_25,delta,yes,yes,64,no
random_forest,5,2.976427168678011,19.328065238909875,4.372740985809908,0.0768157622351889,0.3225190777809367,127.71442317962646,474,256,bert-large-uncased,swls,no,no,0,24_25,delta,yes,yes,128,no
random_forest,5,2.9934256483542137,19.237240848438105,4.364408604414979,0.0793815619292378,0.3165794100353888,146.276948928833,474,512,bert-large-uncased,swls,no,no,0,24_25,delta,yes,yes,256,no
random_forest,5,2.939514363161273,19.189257434951703,4.359492600086195,0.0811527546144635,0.353740944971363,749.5444033145905,474,4096,bert-large-uncased,swls,no,no,0,24_25,delta,no,no,2,no
random_forest,5,2.928238612324006,18.57435988025337,4.289821653427481,0.1096860791960238,0.3751736682783581,371.55734491348267,474,2048,bert-large-uncased,swls,no,no,0,24_25,delta,yes,no,2,no
random_forest,5,2.9097007587185915,18.224996035878693,4.250348713603324,0.1254834632112395,0.4146171448438513,412.10552954673767,474,2049,bert-large-uncased,swls,no,no,0,24_25,delta,yes,no,2,yes
random_forest,5,2.9182004069567,18.530337246752236,4.28577270212602,0.11106913864317278,0.4305319241393761,1012.9818861484528,474,4097,bert-large-uncased,swls,no,no,0,24_25,delta,no,no,2,yes
