model,n_folds,mae,mse,rmse,r2,r,elapsed_time,n_samples,n_features,transformer,scale,X_pca,scaled_data,run_nbr,layers,target,delta_vec,emb_PCA,emb_pca_n,X_added_t1_score
ridge,5,2.8591344525462103,15.60288865586558,3.9413104748477705,0.2405934356440045,0.5048759941857043,48.67241764068604,474,5,bert-large-uncased,swls,no,no,0,24_25,delta,yes,yes,2,yes
ridge,5,2.870214968908166,15.241030826063218,3.897798027549687,0.2555349775378503,0.5276699281436101,45.30800127983093,474,33,bert-large-uncased,swls,no,no,0,24_25,delta,yes,yes,16,yes
ridge,5,2.963478409076544,16.349257165688265,4.033916820776624,0.1990867691141014,0.4820585939504397,45.6320013999939,474,65,bert-large-uncased,swls,no,no,0,24_25,delta,yes,yes,32,yes
ridge,5,3.209063799083321,18.46246053080267,4.282239755327436,0.1017638757932503,0.4301874701474585,45.224509716033936,474,129,bert-large-uncased,swls,no,no,0,24_25,delta,yes,yes,64,yes
ridge,5,3.4750882325137105,21.78863964563083,4.654332145051065,-0.0608530174425301,0.3506733778503591,49.34611248970032,474,257,bert-large-uncased,swls,no,no,0,24_25,delta,yes,yes,128,yes
ridge,5,3.621228454516076,23.613196274252395,4.845664157006807,-0.1449028611556002,0.3157887741063668,48.42599987983704,474,513,bert-large-uncased,swls,no,no,0,24_25,delta,yes,yes,256,yes
ridge,5,2.8498126998276363,15.557297779462363,3.935809584400401,0.2409806961403376,0.5046990566534989,41.96900177001953,474,9,bert-large-uncased,swls,no,no,0,24_25,delta,no,yes,2,yes
ridge,5,2.899885533669567,15.819337083905117,3.973796067202189,0.2210084166302031,0.5066959027376381,42.224000453948975,474,65,bert-large-uncased,swls,no,no,0,24_25,delta,no,yes,16,yes
ridge,5,2.9893732092752727,16.73276558065787,4.08162863295477,0.1785343799947971,0.4733207757185632,44.15299987792969,474,129,bert-large-uncased,swls,no,no,0,24_25,delta,no,yes,32,yes
ridge,5,3.296639242260268,19.548141373683457,4.397846518309541,0.0570502815845821,0.4225177522531416,46.389222383499146,474,257,bert-large-uncased,swls,no,no,0,24_25,delta,no,yes,64,yes
ridge,5,3.568641417908337,22.923471833772968,4.772087719851444,-0.1095448681963684,0.3545842506647544,46.03899884223938,474,513,bert-large-uncased,swls,no,no,0,24_25,delta,no,yes,128,yes
ridge,5,3.5231970024556354,22.19868075616193,4.699239317673031,-0.0776814753439057,0.3614207077563975,48.70498609542847,474,1025,bert-large-uncased,swls,no,no,0,24_25,delta,no,yes,256,yes
ridge,5,2.9703732716471416,17.67073328099075,4.181334715258017,0.1531113180754084,0.4040908460414872,46.82329392433167,474,8,bert-large-uncased,swls,no,no,0,24_25,delta,no,yes,2,no
ridge,5,3.087647404208182,18.23608668294864,4.252912870004875,0.1211858819985149,0.393511757790948,48.569000005722046,474,64,bert-large-uncased,swls,no,no,0,24_25,delta,no,yes,16,no
ridge,5,3.280218570636276,19.601799872653668,4.411378446679988,0.0488148093870069,0.3478613412040216,49.94799995422363,474,128,bert-large-uncased,swls,no,no,0,24_25,delta,no,yes,32,no
ridge,5,3.5742040530809547,22.78178209462274,4.743796450052495,-0.0953016454812466,0.3050168016349103,50.2119996547699,474,256,bert-large-uncased,swls,no,no,0,24_25,delta,no,yes,64,no
ridge,5,3.880059661619044,26.90072699854063,5.169725538060722,-0.3020243852689505,0.2297818276098701,50.2529993057251,474,512,bert-large-uncased,swls,no,no,0,24_25,delta,no,yes,128,no
ridge,5,3.907927267665439,26.669655983148324,5.1522541101640815,-0.2965899943670258,0.2156037814267728,52.15400004386902,474,1024,bert-large-uncased,swls,no,no,0,24_25,delta,no,yes,256,no
ridge,5,2.933496753308891,17.384883590556168,4.147298435549558,0.166728374039342,0.4206185612116759,48.25492477416992,474,4,bert-large-uncased,swls,no,no,0,24_25,delta,yes,yes,2,no
ridge,5,2.9977875276671,17.41179591763147,4.150601047310588,0.1656882451818906,0.4301570326353492,43.337100982666016,474,32,bert-large-uncased,swls,no,no,0,24_25,delta,yes,yes,16,no
ridge,5,3.13497621101068,18.579858814765693,4.291687082945153,0.1019843054705508,0.3787738260940877,47.27099943161011,474,64,bert-large-uncased,swls,no,no,0,24_25,delta,yes,yes,32,no
ridge,5,3.445907819191396,21.322782401054333,4.59154686471558,-0.0248074941254004,0.3133022380462024,48.14899849891663,474,128,bert-large-uncased,swls,no,no,0,24_25,delta,yes,yes,64,no
ridge,5,3.709499785308452,24.81841756746553,4.96124011345089,-0.1975688611325088,0.245849196026742,49.12799954414368,474,256,bert-large-uncased,swls,no,no,0,24_25,delta,yes,yes,128,no
ridge,5,3.8759533687205616,26.983327647038287,5.178333194382155,-0.3052739671828456,0.2006063221471507,48.76099991798401,474,512,bert-large-uncased,swls,no,no,0,24_25,delta,yes,yes,256,no
ridge,5,3.729969135860688,24.541551195310607,4.938012355880908,-0.1881176218613133,0.2509878694280025,61.107378005981445,474,4096,bert-large-uncased,swls,no,no,0,24_25,delta,no,no,2,no
ridge,5,3.616762590640469,23.47880861160796,4.829181708316489,-0.1443259664289944,0.2782098625120969,58.16490387916565,474,2048,bert-large-uncased,swls,no,no,0,24_25,delta,yes,no,2,no
ridge,5,3.482251649602491,21.942892519413984,4.66950039522043,-0.0743231727616178,0.3396566266802635,55.07450032234192,474,2049,bert-large-uncased,swls,no,no,0,24_25,delta,yes,no,2,yes
ridge,5,3.3850871041849913,20.537162907769623,4.5174477369984505,0.005270348789319312,0.38983299318256526,62.84866428375244,474,4097,bert-large-uncased,swls,no,no,0,24_25,delta,no,no,2,yes
