model,n_folds,mae,mse,rmse,r2,r,elapsed_time,n_samples,n_features,transformer,scale,X_pca,scaled_data,run_nbr,layers,target,delta_vec,emb_PCA,emb_pca_n,X_added_t1_score
blr,5,3.1362712162782134,18.86557350685612,4.334911330763517,0.0829943996871755,0.320088673277657,58.64296913146973,474,9,roberta-base,swls,no,no,0,12_13,delta,no,yes,2,yes
blr,5,2.8214195491063494,14.769705847052723,3.837423735022479,0.2793653047075888,0.541299770877641,60.47099995613098,474,65,roberta-base,swls,no,no,0,12_13,delta,no,yes,16,yes
blr,5,2.8543281135677296,14.902290044869751,3.857296003705904,0.2683315252943824,0.5370268812697758,62.53999996185303,474,129,roberta-base,swls,no,no,0,12_13,delta,no,yes,32,yes
blr,5,2.871841726741331,15.209703311206406,3.89715432818504,0.2526615457671433,0.5250448255462208,64.57399892807007,474,257,roberta-base,swls,no,no,0,12_13,delta,no,yes,64,yes
blr,5,2.869076569152287,15.23025538608097,3.8997564116384313,0.2514483679874066,0.5246069788407878,68.62444829940796,474,513,roberta-base,swls,no,no,0,12_13,delta,no,yes,128,yes
blr,5,2.8667369249293344,15.203495507372104,3.896128050497112,0.2533248517170866,0.525853358853619,74.52046990394592,474,1025,roberta-base,swls,no,no,0,12_13,delta,no,yes,256,yes
blr,5,3.117882038966214,18.760448006673744,4.322393862809077,0.0887885876464896,0.3271330766306563,63.03329825401306,474,5,roberta-base,swls,no,no,0,12_13,delta,yes,yes,2,yes
blr,5,2.940963877207776,15.731824113166423,3.957055494383276,0.2370306101187094,0.5019963280835504,65.84399962425232,474,33,roberta-base,swls,no,no,0,12_13,delta,yes,yes,16,yes
blr,5,2.9406981211637726,15.64669909413484,3.9478128965413175,0.2395100224757801,0.5065517856794075,70.86400055885315,474,65,roberta-base,swls,no,no,0,12_13,delta,yes,yes,32,yes
blr,5,2.955847779734856,15.857110986327733,3.9757087569708816,0.2273522508333693,0.4970735989905741,67.67500138282776,474,129,roberta-base,swls,no,no,0,12_13,delta,yes,yes,64,yes
blr,5,2.978112725494141,16.038695405750428,3.999108760721074,0.2174276738520087,0.4899994509255815,68.99300408363342,474,257,roberta-base,swls,no,no,0,12_13,delta,yes,yes,128,yes
blr,5,2.9692924875920763,16.036484555986483,3.997523183366567,0.2193977954169384,0.4898038538709913,73.70486783981323,474,513,roberta-base,swls,no,no,0,12_13,delta,yes,yes,256,yes
blr,5,3.041090569122572,20.32974555529548,4.486351609802698,0.0274993636811956,0.1813966282962316,59.72376084327698,474,8,roberta-base,swls,no,no,0,12_13,delta,no,yes,2,no
blr,5,2.964693432522695,16.789261007818386,4.0773062607257895,0.1961837662270303,0.4538222468803062,59.12017703056336,474,64,roberta-base,swls,no,no,0,12_13,delta,no,yes,16,no
blr,5,2.98513956037522,17.06908996052956,4.112430358133964,0.1816017463156458,0.4421065062851952,60.48172354698181,474,128,roberta-base,swls,no,no,0,12_13,delta,no,yes,32,no
blr,5,3.0058683053741624,17.42149898684338,4.15675655712526,0.1628424831710272,0.4244511371396721,62.33400082588196,474,256,roberta-base,swls,no,no,0,12_13,delta,no,yes,64,no
blr,5,2.9918173228431115,17.43637678883544,4.159355792904671,0.1615827335631982,0.4223093234989051,67.20889067649841,474,512,roberta-base,swls,no,no,0,12_13,delta,no,yes,128,no
blr,5,2.986663162799991,17.348010159377974,4.147917013972025,0.1666067998132893,0.4271013505583966,73.3546450138092,474,1024,roberta-base,swls,no,no,0,12_13,delta,no,yes,256,no
blr,5,3.016724481204724,19.92908871457001,4.441989762655514,0.0465005576247161,0.2241173570443715,56.03696894645691,474,4,roberta-base,swls,no,no,0,12_13,delta,yes,yes,2,no
blr,5,2.972419588331032,16.83501051522452,4.086370792527349,0.1907191071312256,0.4534983009057384,56.149680376052856,474,32,roberta-base,swls,no,no,0,12_13,delta,yes,yes,16,no
blr,5,2.965412206903024,16.765193816061064,4.079057197999743,0.1933652462405883,0.457241024236522,59.01799988746643,474,64,roberta-base,swls,no,no,0,12_13,delta,yes,yes,32,no
blr,5,2.9922479690650814,16.92567572455225,4.100978226721395,0.1832988527937626,0.4481620377581318,59.06141519546509,474,128,roberta-base,swls,no,no,0,12_13,delta,yes,yes,64,no
blr,5,3.008871937030455,17.154517158413814,4.12987516921642,0.1709758069185221,0.4375182268409017,60.29100275039673,474,256,roberta-base,swls,no,no,0,12_13,delta,yes,yes,128,no
blr,5,3.000353794472307,17.122894491027743,4.123703342796754,0.1749490617000208,0.4390552207146855,64.15072679519653,474,512,roberta-base,swls,no,no,0,12_13,delta,yes,yes,256,no
blr,5,2.9875078752245576,17.35981292177046,4.149463667346116,0.165904499954899,0.4265852783517886,119.9920530319214,474,3072,roberta-base,swls,no,no,0,12_13,delta,no,no,2,no
blr,5,2.9369493687884947,16.791355496890976,4.082373821908267,0.1905252460114731,0.455243366643853,75.81105828285217,474,1536,roberta-base,swls,no,no,0,12_13,delta,yes,no,2,no
blr,5,2.8985810884741503,15.533085468318864,3.934296276182412,0.24289698249896,0.5118710198753323,80.28177976608276,474,1537,roberta-base,swls,no,no,0,12_13,delta,yes,no,2,yes
blr,5,2.8657916127806167,15.203258458382123,3.896112524140187,0.25331104330467485,0.5257265856763337,111.3206205368042,474,3073,roberta-base,swls,no,no,0,12_13,delta,no,no,2,yes
