model,n_folds,mae,mse,rmse,r2,r,elapsed_time,n_samples,n_features,transformer,scale,X_pca,scaled_data,run_nbr,layers,target,delta_vec,emb_PCA,emb_pca_n,X_added_t1_score
random_forest,5,3.127444658690801,19.540763485260904,4.409599115631666,0.052918641906515,0.2724348627973187,112.88015842437744,474,9,roberta-base,swls,no,no,0,12_13,delta,no,yes,2,yes
random_forest,5,2.8721441731848083,16.489705567708956,4.048424142302,0.2033718235716422,0.5075219105091501,119.7055995464325,474,65,roberta-base,swls,no,no,0,12_13,delta,no,yes,16,yes
random_forest,5,2.874593501425076,16.63683639277875,4.067386523593468,0.1955818326171027,0.5051832425209584,142.84440541267395,474,129,roberta-base,swls,no,no,0,12_13,delta,no,yes,32,yes
random_forest,5,2.885814558926666,16.852105771409683,4.093136692791123,0.1857510208738987,0.4987921717945662,152.80921578407288,474,257,roberta-base,swls,no,no,0,12_13,delta,no,yes,64,yes
random_forest,5,2.901156202932561,17.115692330612525,4.123441044958004,0.1746926410726266,0.4979984258490192,185.30611276626587,474,513,roberta-base,swls,no,no,0,12_13,delta,no,yes,128,yes
random_forest,5,2.915299968193495,17.39681779907178,4.158106239276764,0.1601178882102557,0.4910522698299844,303.82177925109863,474,1025,roberta-base,swls,no,no,0,12_13,delta,no,yes,256,yes
random_forest,5,3.133007866391158,19.50675756943202,4.405515731848865,0.0549111746971746,0.2748102513182432,114.70789909362792,474,5,roberta-base,swls,no,no,0,12_13,delta,yes,yes,2,yes
random_forest,5,2.987008744308471,17.660017305813906,4.188623633951496,0.1475635039483145,0.4057622018540283,110.2032380104065,474,33,roberta-base,swls,no,no,0,12_13,delta,yes,yes,16,yes
random_forest,5,2.986307028210136,17.706023630463118,4.193352817936697,0.1461211365448264,0.4072231457282706,121.5479063987732,474,65,roberta-base,swls,no,no,0,12_13,delta,yes,yes,32,yes
random_forest,5,2.9714384089191364,17.70329484316023,4.192612352443075,0.146994417874256,0.4141853990635832,105.66308426856996,474,129,roberta-base,swls,no,no,0,12_13,delta,yes,yes,64,yes
random_forest,5,2.978938664773099,17.93401774728056,4.220909692343518,0.1346211182597852,0.3971331983504445,146.28446197509766,474,257,roberta-base,swls,no,no,0,12_13,delta,yes,yes,128,yes
random_forest,5,2.981651575383968,18.06770112488612,4.235522054212045,0.1294071492416432,0.3969338140218161,199.73042821884155,474,513,roberta-base,swls,no,no,0,12_13,delta,yes,yes,256,yes
random_forest,5,3.0456524599431822,20.577619143113463,4.513109976681978,0.015851206576434,0.1594181969909247,94.87723708152772,474,8,roberta-base,swls,no,no,0,12_13,delta,no,yes,2,no
random_forest,5,2.93634689847825,18.19541407382308,4.242349601145964,0.1311511632781477,0.3949411078730825,106.06444549560548,474,64,roberta-base,swls,no,no,0,12_13,delta,no,yes,16,no
random_forest,5,2.93056373773151,18.34218891311131,4.2596239074925375,0.1240558576522099,0.3860917978526595,119.7043309211731,474,128,roberta-base,swls,no,no,0,12_13,delta,no,yes,32,no
random_forest,5,2.9262501392862017,18.417635815856425,4.267057533971245,0.1215669227355476,0.3933171321951468,131.55383110046387,474,256,roberta-base,swls,no,no,0,12_13,delta,no,yes,64,no
random_forest,5,2.9487862794593065,18.81868906036132,4.314934356227836,0.1011121350673337,0.366943625481037,158.46818208694458,474,512,roberta-base,swls,no,no,0,12_13,delta,no,yes,128,no
random_forest,5,2.9465450593488005,18.9433496016757,4.328363674487797,0.0958698323626812,0.3756005468410406,308.7839334011078,474,1024,roberta-base,swls,no,no,0,12_13,delta,no,yes,256,no
random_forest,5,3.023820082583813,20.8797671227218,4.546713281312668,0.0012179585981628,0.0785965139481081,99.27631163597108,474,4,roberta-base,swls,no,no,0,12_13,delta,yes,yes,2,no
random_forest,5,3.0050134473030665,18.71283336982156,4.303434272423938,0.1052248907192096,0.3335419114023096,103.49817299842834,474,32,roberta-base,swls,no,no,0,12_13,delta,yes,yes,16,no
random_forest,5,3.00358126995832,18.71444242510926,4.302461336873848,0.1060512267385959,0.3376437346118607,103.84492897987366,474,64,roberta-base,swls,no,no,0,12_13,delta,yes,yes,32,no
random_forest,5,3.0084366734673984,18.762731360659902,4.309859993745715,0.1021046130204698,0.3339571133240092,110.55519556999208,474,128,roberta-base,swls,no,no,0,12_13,delta,yes,yes,64,no
random_forest,5,3.002788122617487,18.898090071039512,4.32461055908438,0.0964592846568588,0.3265269776217272,148.06091856956482,474,256,roberta-base,swls,no,no,0,12_13,delta,yes,yes,128,no
random_forest,5,2.9914924958733504,18.90353796392307,4.324653015663453,0.0966946333326034,0.3307851052443605,191.84120059013367,474,512,roberta-base,swls,no,no,0,12_13,delta,yes,yes,256,no
random_forest,5,2.997775555547648,19.489104965848423,4.390744009315879,0.0693452788246049,0.3173631527649631,592.2091886997223,474,3072,roberta-base,swls,no,no,0,12_13,delta,no,no,2,no
random_forest,5,2.958513416253699,18.9991045598812,4.335366568451369,0.092323625670464,0.3428236815013098,395.33069920539856,474,1536,roberta-base,swls,no,no,0,12_13,delta,yes,no,2,no
random_forest,5,2.963795174410116,18.7398017631005,4.3100374441495575,0.1010538462928864,0.3679137645210361,326.3035843372345,474,1537,roberta-base,swls,no,no,0,12_13,delta,yes,no,2,yes
random_forest,5,2.9793992137038545,18.878635422804603,4.324891700979013,0.09552822695055371,0.38768370074750447,514.7386898994446,474,3073,roberta-base,swls,no,no,0,12_13,delta,no,no,2,yes
