model,n_folds,mae,mse,rmse,r2,r,elapsed_time,n_samples,n_features,transformer,scale,X_pca,scaled_data,run_nbr,layers,target,delta_vec,emb_PCA,emb_pca_n,X_added_t1_score
ridge,5,3.09478717545329,18.26955289977702,4.26436888635377,0.1141039209397376,0.3604719593333133,58.70038986206055,474,9,roberta-base,swls,no,no,0,12_13,delta,no,yes,2,yes
ridge,5,2.8304378648003947,14.815882947601017,3.843868063977885,0.2763903541606346,0.5420369595707206,45.07899975776672,474,65,roberta-base,swls,no,no,0,12_13,delta,no,yes,16,yes
ridge,5,2.9411444284439368,15.521915415529683,3.938222677308632,0.234176427528503,0.5219437181601737,44.96499967575073,474,129,roberta-base,swls,no,no,0,12_13,delta,no,yes,32,yes
ridge,5,3.0189345462748896,16.350858716512555,4.04259934449476,0.1898223855232864,0.4956864757993949,50.25821566581726,474,257,roberta-base,swls,no,no,0,12_13,delta,no,yes,64,yes
ridge,5,3.0391859575055493,16.65045911397952,4.079305481701214,0.1735476355439587,0.4868033842512872,48.98303031921387,474,513,roberta-base,swls,no,no,0,12_13,delta,no,yes,128,yes
ridge,5,3.027575249380947,16.451092981911142,4.054790579660618,0.1852369818266069,0.4926057927849404,53.06800866127014,474,1025,roberta-base,swls,no,no,0,12_13,delta,no,yes,256,yes
ridge,5,3.110287838554064,18.45176597575896,4.284852293753808,0.1062898210709937,0.346596734702538,51.06557512283325,474,5,roberta-base,swls,no,no,0,12_13,delta,yes,yes,2,yes
ridge,5,2.96046183921164,15.858505283978868,3.972594866482344,0.2308949557651525,0.5008449938017463,46.77400040626526,474,33,roberta-base,swls,no,no,0,12_13,delta,yes,yes,16,yes
ridge,5,3.021608826743569,16.20405663945803,4.018756457043392,0.2100891841702418,0.4923419970449695,50.08899998664856,474,65,roberta-base,swls,no,no,0,12_13,delta,yes,yes,32,yes
ridge,5,3.1404654044878515,17.070218765746148,4.129188917146197,0.1602288334829151,0.4621920100489459,50.16600108146668,474,129,roberta-base,swls,no,no,0,12_13,delta,yes,yes,64,yes
ridge,5,3.224971298485113,17.97442428143284,4.238086424685451,0.1119368842173871,0.4357908061818962,51.90199828147888,474,257,roberta-base,swls,no,no,0,12_13,delta,yes,yes,128,yes
ridge,5,3.2380339250121217,18.069816861947707,4.247499380895204,0.1129523118172197,0.4320527747251327,53.71788144111633,474,513,roberta-base,swls,no,no,0,12_13,delta,yes,yes,256,yes
ridge,5,3.060835597232002,19.8002233880356,4.428234585524275,0.0522388680621005,0.2414242135777446,51.88957452774048,474,8,roberta-base,swls,no,no,0,12_13,delta,no,yes,2,no
ridge,5,3.0028117222413293,16.838914649013443,4.0852026012330045,0.1918992946086121,0.4568772648321085,51.15402603149414,474,64,roberta-base,swls,no,no,0,12_13,delta,no,yes,16,no
ridge,5,3.098678198976555,17.620717314996835,4.180963858968506,0.1517566676799343,0.4318869055277082,50.42599964141846,474,128,roberta-base,swls,no,no,0,12_13,delta,no,yes,32,no
ridge,5,3.2389928457732786,18.802377220466177,4.327394396419005,0.0850075181962784,0.392922203464823,50.74633383750916,474,256,roberta-base,swls,no,no,0,12_13,delta,no,yes,64,no
ridge,5,3.259247294241804,19.02243133976605,4.353260365276372,0.0741724258896164,0.3821272565918746,51.029422760009766,474,512,roberta-base,swls,no,no,0,12_13,delta,no,yes,128,no
ridge,5,3.200577157948589,18.549646179888565,4.296161060822641,0.100738402798167,0.3973832190265295,52.36199998855591,474,1024,roberta-base,swls,no,no,0,12_13,delta,no,yes,256,no
ridge,5,3.056858606741416,19.75845849608292,4.423574361162445,0.054243459762076,0.2427236114552361,51.75407862663269,474,4,roberta-base,swls,no,no,0,12_13,delta,yes,yes,2,no
ridge,5,3.021429148636241,17.038245231548114,4.112164365186466,0.1793107673882013,0.4483445152667786,45.291000843048096,474,32,roberta-base,swls,no,no,0,12_13,delta,yes,yes,16,no
ridge,5,3.067715318898405,17.467239056532684,4.166415322822766,0.1560403356495624,0.437051540335603,49.01595997810364,474,64,roberta-base,swls,no,no,0,12_13,delta,yes,yes,32,no
ridge,5,3.204701671322833,18.27521268459808,4.26886214536127,0.1082991118690185,0.4083885183797235,49.01215076446533,474,128,roberta-base,swls,no,no,0,12_13,delta,yes,yes,64,no
ridge,5,3.2812516975388464,19.254250670464817,4.383491899240815,0.0569202714330175,0.3755327298561594,49.14603900909424,474,256,roberta-base,swls,no,no,0,12_13,delta,yes,yes,128,no
ridge,5,3.2675654018448816,19.149179974933443,4.3681204696077645,0.0682424749879655,0.3790777729213732,49.198999643325806,474,512,roberta-base,swls,no,no,0,12_13,delta,yes,yes,256,no
ridge,5,3.2119422814504888,18.64324676271325,4.3095051781322,0.09314623760158,0.3973082157669901,67.53482413291931,474,3072,roberta-base,swls,no,no,0,12_13,delta,no,no,2,no
ridge,5,3.1019663985764043,17.96772095924816,4.22469408965783,0.1299594533483254,0.4194847856313548,55.88744068145752,474,1536,roberta-base,swls,no,no,0,12_13,delta,yes,no,2,no
ridge,5,3.010996650170255,16.612542133107528,4.068796539468906,0.1880332729355807,0.4792403897224155,59.28578686714173,474,1537,roberta-base,swls,no,no,0,12_13,delta,yes,no,2,yes
ridge,5,3.0080240609389337,16.334729381915917,4.040359948920388,0.1914465174764841,0.4948235483722147,66.41531944274902,474,3073,roberta-base,swls,no,no,0,12_13,delta,no,no,2,yes
