model,n_folds,mae,mse,rmse,r2,r,elapsed_time,n_samples,n_features,transformer,scale,X_pca,scaled_data,run_nbr,layers,target,delta_vec,emb_PCA,emb_pca_n,X_added_t1_score
ak_struct_reg,5,3.0189370585789472,20.932925746542885,4.553193167522025,-0.0019776141674633,,394.9505543708801,474,9,roberta-large,swls,no,no,0,24_25,delta,no,yes,2,yes
ak_struct_reg,5,2.813343829770488,15.45256194606798,3.925072649405735,0.243922382370581,0.535536764147979,867.094612121582,474,65,roberta-large,swls,no,no,0,24_25,delta,no,yes,16,yes
ak_struct_reg,5,1.7643108995905623,6.30641521274694,2.3039682572754443,0.6824723221294471,0.8244489090221002,1120.5051097869873,474,129,roberta-large,swls,no,no,0,24_25,delta,no,yes,32,yes
ak_struct_reg,5,1.3699453982259049,4.859811815278319,1.8246742876762545,0.7518300990687358,0.8507022440210239,1225.433156490326,474,257,roberta-large,swls,no,no,0,24_25,delta,no,yes,64,yes
ak_struct_reg,5,1.8470344279971376,7.044070415502143,2.5369931941856407,0.6472606590037356,0.8011021886979561,1943.1067225933075,474,513,roberta-large,swls,no,no,0,24_25,delta,no,yes,128,yes
ak_struct_reg,5,1.0295868940823287,6.817152257402578,2.1025319917404426,0.6544301773426086,0.8167186280791338,1870.5660638809204,474,1025,roberta-large,swls,no,no,0,24_25,delta,no,yes,256,yes
ak_struct_reg,5,2.8662507648506725,17.244082777606383,4.138500513065633,0.1656618419909621,0.4429159402521739,604.483865737915,474,5,roberta-large,swls,no,no,0,24_25,delta,yes,yes,2,yes
ak_struct_reg,5,2.326235541846491,9.87287743913664,3.0955841706627565,0.5033656669842347,0.7107234428833215,634.821405172348,474,33,roberta-large,swls,no,no,0,24_25,delta,yes,yes,16,yes
ak_struct_reg,5,1.5097589740549264,5.114120170589743,1.8882089534971649,0.7384839226205827,0.8473145414631256,649.8537392616272,474,65,roberta-large,swls,no,no,0,24_25,delta,yes,yes,32,yes
ak_struct_reg,5,0.716742038378223,4.367587111610286,0.9408462797611572,0.7716838531673421,0.8395014367449543,669.9420475959778,474,129,roberta-large,swls,no,no,0,24_25,delta,yes,yes,64,yes
ak_struct_reg,5,2.9486384875619938,16.64166330628469,4.073269202389147,0.187036836418987,0.4494269516220693,1659.8733897209167,474,257,roberta-large,swls,no,no,0,24_25,delta,yes,yes,128,yes
ak_struct_reg,5,3.018868346811676,20.93292348250329,4.553192986540859,-0.001977532934835,,1078.8475506305697,474,513,roberta-large,swls,no,no,0,24_25,delta,yes,yes,256,yes
ak_struct_reg,5,2.9929025124424564,19.875249812228684,4.436441164780673,0.0478982222561011,0.2327388165941329,549.0182738304138,474,8,roberta-large,swls,no,no,0,24_25,delta,no,yes,2,no
ak_struct_reg,5,2.6170225807590137,14.835406468573316,3.835373477085649,0.2827638886039473,0.6090667178288738,656.6015160083771,474,64,roberta-large,swls,no,no,0,24_25,delta,no,yes,16,no
ak_struct_reg,5,1.7207722440870086,7.041746802043102,2.342356108207011,0.6435789721637625,0.8069644600803821,716.5836019515991,474,128,roberta-large,swls,no,no,0,24_25,delta,no,yes,32,no
ak_struct_reg,5,2.598117694554408,14.372659179391372,3.771731945742599,0.3010436952767338,0.6385805433584482,1251.3306415081024,474,256,roberta-large,swls,no,no,0,24_25,delta,no,yes,64,no
ak_struct_reg,5,0.8636116823450581,5.086755661639371,1.572468444673971,0.7348296168095523,0.8229659059826873,1214.2865855693815,474,512,roberta-large,swls,no,no,0,24_25,delta,no,yes,128,no
ak_struct_reg,5,3.0189377460514444,20.932925770406644,4.553193169466979,-0.0019776150407307,,1742.999974489212,474,1024,roberta-large,swls,no,no,0,24_25,delta,no,yes,256,no
ak_struct_reg,5,3.0066720430613447,20.6489262971632,4.521434065505657,0.0122384165177423,0.130899283398964,534.2969620227814,474,4,roberta-large,swls,no,no,0,24_25,delta,yes,yes,2,no
ak_struct_reg,5,2.321238528943609,12.509957752537357,3.457178618355151,0.3985192112468316,0.6147680707762737,511.8065404891968,474,32,roberta-large,swls,no,no,0,24_25,delta,yes,yes,16,no
ak_struct_reg,5,3.0189368796882547,20.932925740337115,4.553193167016355,-0.001977613940423,,702.2801339626312,474,64,roberta-large,swls,no,no,0,24_25,delta,yes,yes,32,no
ak_struct_reg,5,3.018938294551007,20.93292578946356,4.553193171020669,-0.0019776157383268,,581.59308385849,474,128,roberta-large,swls,no,no,0,24_25,delta,yes,yes,64,no
ak_struct_reg,5,3.0189384778770063,20.932925795836383,4.553193171540338,-0.0019776159716558,,769.6890125274658,474,256,roberta-large,swls,no,no,0,24_25,delta,yes,yes,128,no
ak_struct_reg,5,3.218610866664505,27.07204162321201,5.089042539385605,-0.3229011420089019,,1434.8650233745575,474,512,roberta-large,swls,no,no,0,24_25,delta,yes,yes,256,no
ak_struct_reg,5,1.6835899292869434,6.3309911319239465,2.2994357787433937,0.6814198160701322,0.8216040323202088,9709.746686935425,474,4096,roberta-large,swls,no,no,0,24_25,delta,no,no,2,no
ak_struct_reg,5,1.414022259847965,5.756766627102967,1.973976313038047,0.7086281564528255,0.839657805218281,4466.938828229904,474,2048,roberta-large,swls,no,no,0,24_25,delta,yes,no,2,no
ak_struct_reg,5,2.460614969618139,11.800071516820092,3.4074958514548057,0.4289491727179385,0.692461266162927,9142.498939275742,474,2049,roberta-large,swls,no,no,0,24_25,delta,yes,no,2,yes
ak_struct_reg,5,1.4496580374570436,5.022310425537428,1.9666492007847531,0.7458612080632651,0.8548589737033672,11003.946216344833,474,4097,roberta-large,swls,no,no,0,24_25,delta,no,no,2,yes
