model,n_folds,mae,mse,rmse,r2,r,elapsed_time,n_samples,n_features,transformer,scale,X_pca,scaled_data,run_nbr,layers,target,delta_vec,emb_PCA,emb_pca_n,X_added_t1_score
blr,5,3.1466736753397653,19.08148526751788,4.359267075443121,0.0731702683811766,0.3048989788100968,57.26792860031128,474,9,roberta-large,swls,no,no,0,24_25,delta,no,yes,2,yes
blr,5,2.88405267351234,15.40000166091745,3.921632536130082,0.2420553626151527,0.5195771879243083,56.37373948097229,474,65,roberta-large,swls,no,no,0,24_25,delta,no,yes,16,yes
blr,5,2.916054660029982,15.758526459553533,3.967615755677717,0.2223490915739909,0.5016522982154804,57.46504282951355,474,129,roberta-large,swls,no,no,0,24_25,delta,no,yes,32,yes
blr,5,2.9194443930235594,15.94255942997888,3.9904235460204527,0.2146164932581642,0.494061058316379,59.2896420955658,474,257,roberta-large,swls,no,no,0,24_25,delta,no,yes,64,yes
blr,5,2.9119228433475985,15.940620990093354,3.990311146343294,0.2140068911472411,0.4927139999797514,63.7274808883667,474,513,roberta-large,swls,no,no,0,24_25,delta,no,yes,128,yes
blr,5,2.919262213605615,15.9681976565525,3.9937924281374544,0.2129520466278835,0.4921764353049609,69.31280469894409,474,1025,roberta-large,swls,no,no,0,24_25,delta,no,yes,256,yes
blr,5,3.1231170663833643,18.8935258491176,4.337785336185424,0.0822373825477301,0.3187644143995479,57.43544554710388,474,5,roberta-large,swls,no,no,0,24_25,delta,yes,yes,2,yes
blr,5,2.961266899084364,16.422538849819315,4.047814405096134,0.1948272425248975,0.4720225664358627,59.49952173233032,474,33,roberta-large,swls,no,no,0,24_25,delta,yes,yes,16,yes
blr,5,3.002502707525764,16.808094992600665,4.095817222149725,0.1749443053065049,0.4518107744143278,60.628087520599365,474,65,roberta-large,swls,no,no,0,24_25,delta,yes,yes,32,yes
blr,5,3.004396606023531,16.919516108741696,4.109013904156456,0.1710974475198549,0.4441726335476997,60.78520727157593,474,129,roberta-large,swls,no,no,0,24_25,delta,yes,yes,64,yes
blr,5,3.006535774967737,16.974634656236475,4.115790659651839,0.1678563144415168,0.4414088983517971,62.16471219062805,474,257,roberta-large,swls,no,no,0,24_25,delta,yes,yes,128,yes
blr,5,3.016175594030128,17.034278015089576,4.122580833102658,0.1659851277190658,0.4375978528343514,68.62081289291382,474,513,roberta-large,swls,no,no,0,24_25,delta,yes,yes,256,yes
blr,5,3.0361278640365392,20.71909944683544,4.5291449546915,0.0088553223447777,0.1275521342363913,59.87564849853516,474,8,roberta-large,swls,no,no,0,24_25,delta,no,yes,2,no
blr,5,2.998259230988321,17.593279216803687,4.1746085944199525,0.1570432596704961,0.4117765369011887,60.4976978302002,474,64,roberta-large,swls,no,no,0,24_25,delta,no,yes,16,no
blr,5,3.033825492041635,18.107471363759814,4.237348064604118,0.1306694688831878,0.3795129186407719,61.60900139808655,474,128,roberta-large,swls,no,no,0,24_25,delta,no,yes,32,no
blr,5,3.028436671633914,18.275474189234725,4.255848646751287,0.1236247050050447,0.3695775166782581,63.58800148963928,474,256,roberta-large,swls,no,no,0,24_25,delta,no,yes,64,no
blr,5,3.022835128212347,18.22925584459214,4.251316778689672,0.1250797653112067,0.3710332446026659,67.65620994567871,474,512,roberta-large,swls,no,no,0,24_25,delta,no,yes,128,no
blr,5,3.028926055297848,18.25105060382922,4.253811869853385,0.1240440207348571,0.3713823225812268,73.776034116745,474,1024,roberta-large,swls,no,no,0,24_25,delta,no,yes,256,no
blr,5,3.026271127505983,20.575703466102503,4.513583474309362,0.0155216923808819,0.1453460760392952,61.74600553512573,474,4,roberta-large,swls,no,no,0,24_25,delta,yes,yes,2,no
blr,5,3.061509387133517,19.785384331137987,4.421313030026325,0.0573482466346424,0.2468113573805916,61.97763442993164,474,32,roberta-large,swls,no,no,0,24_25,delta,yes,yes,16,no
blr,5,3.0519446362588787,20.0374620117535,4.451168906305991,0.0439800878539706,0.2158268353706681,67.69099473953247,474,64,roberta-large,swls,no,no,0,24_25,delta,yes,yes,32,no
blr,5,3.051129228350087,20.101053647606,4.458175841782473,0.0409684123828925,0.2086708864284328,65.73374938964844,474,128,roberta-large,swls,no,no,0,24_25,delta,yes,yes,64,no
blr,5,3.044425668908133,20.048025593786367,4.452796247380059,0.0430675355394347,0.215580287893764,66.82832527160645,474,256,roberta-large,swls,no,no,0,24_25,delta,yes,yes,128,no
blr,5,3.046480129253621,20.095999547878904,4.458050418903621,0.0408382434608326,0.2104378964796114,70.26606297492981,474,512,roberta-large,swls,no,no,0,24_25,delta,yes,yes,256,no
blr,5,3.029390225924915,18.259577135528207,4.254929964681378,0.1235177672214048,0.3706383294540757,136.76989889144895,474,4096,roberta-large,swls,no,no,0,24_25,delta,no,no,2,no
blr,5,2.980134464521357,17.151741181558442,4.122875241238268,0.1751747140755602,0.4396818925567285,83.01981043815613,474,2048,roberta-large,swls,no,no,0,24_25,delta,yes,no,2,no
blr,5,2.9290706585879844,15.899899085866064,3.979805865224506,0.2256485973360938,0.4982385088790392,87.0816445350647,474,2049,roberta-large,swls,no,no,0,24_25,delta,yes,no,2,yes
blr,5,2.9194500262433385,15.96491308305733,3.9934258372800207,0.21293895849335454,0.4921499624778966,141.2116403579712,474,4097,roberta-large,swls,no,no,0,24_25,delta,no,no,2,yes
