model,n_folds,mae,mse,rmse,r2,r,elapsed_time,n_samples,n_features,transformer,scale,X_pca,scaled_data,run_nbr,layers,target,delta_vec,emb_PCA,emb_pca_n,X_added_t1_score
ridge,5,3.173113213399245,19.185143686750585,4.374221054600012,0.0628000147112192,0.2997181968994787,45.98633813858032,474,9,roberta-large,swls,no,no,0,24_25,delta,no,yes,2,yes
ridge,5,2.91826040974654,15.609649259171617,3.949399732055512,0.2288952722844719,0.5165574560759841,41.5503671169281,474,65,roberta-large,swls,no,no,0,24_25,delta,no,yes,16,yes
ridge,5,3.049005729949684,16.58175983528999,4.07136614071281,0.1774788178658966,0.4824945484670465,43.01874399185181,474,129,roberta-large,swls,no,no,0,24_25,delta,no,yes,32,yes
ridge,5,3.1094341875859315,17.486660958462664,4.180573820016937,0.1319591372560169,0.4571906376813873,46.10795211791992,474,257,roberta-large,swls,no,no,0,24_25,delta,no,yes,64,yes
ridge,5,3.1513866123609,18.013832630640717,4.244028703723247,0.10084242999008,0.439356207183965,48.22183728218079,474,513,roberta-large,swls,no,no,0,24_25,delta,no,yes,128,yes
ridge,5,3.146204403556248,17.974411381146375,4.239481536410888,0.104876305155292,0.440200465823659,48.220935344696045,474,1025,roberta-large,swls,no,no,0,24_25,delta,no,yes,256,yes
ridge,5,3.1377352052179903,18.949772866366025,4.344513847668047,0.079010338590301,0.3139545685372014,47.03635239601135,474,5,roberta-large,swls,no,no,0,24_25,delta,yes,yes,2,yes
ridge,5,2.965153630498216,16.478086815015637,4.055638069737428,0.189445116207537,0.4750662395943229,45.579078674316406,474,33,roberta-large,swls,no,no,0,24_25,delta,yes,yes,16,yes
ridge,5,3.07900742188456,17.32200002810455,4.160390954470357,0.1439770975441361,0.4418040573750941,44.31896209716797,474,65,roberta-large,swls,no,no,0,24_25,delta,yes,yes,32,yes
ridge,5,3.114595347783534,17.811302048362805,4.218174015769039,0.121617322661536,0.4263974487799123,46.60453009605408,474,129,roberta-large,swls,no,no,0,24_25,delta,yes,yes,64,yes
ridge,5,3.2584509116908555,18.927034742658808,4.34932698904472,0.0595293235801191,0.3925073263664808,49.11599087715149,474,257,roberta-large,swls,no,no,0,24_25,delta,yes,yes,128,yes
ridge,5,3.298460141015908,19.50689836777552,4.413000723619413,0.0387179797020974,0.3777030421915671,50.6972382068634,474,513,roberta-large,swls,no,no,0,24_25,delta,yes,yes,256,yes
ridge,5,3.079036349104553,20.8459788831614,4.544778258876219,0.0009423043568243,0.1115887506173941,53.17691993713379,474,8,roberta-large,swls,no,no,0,24_25,delta,no,yes,2,no
ridge,5,3.063376616382804,17.815573851692406,4.205222745934021,0.1420263857253788,0.4110743038173879,51.538999795913696,474,64,roberta-large,swls,no,no,0,24_25,delta,no,yes,16,no
ridge,5,3.2306186911764003,19.05356022769288,4.35240287435508,0.0775418705420499,0.3673457484370195,53.28830909729004,474,128,roberta-large,swls,no,no,0,24_25,delta,no,yes,32,no
ridge,5,3.3053028465405374,20.03189339994202,4.464534517657956,0.0269399424285939,0.3439290540032058,54.01200127601624,474,256,roberta-large,swls,no,no,0,24_25,delta,no,yes,64,no
ridge,5,3.3409982943439105,20.437898154271004,4.513477455753794,0.0018687334202122,0.3341954103924607,53.14999961853027,474,512,roberta-large,swls,no,no,0,24_25,delta,no,yes,128,no
ridge,5,3.327988116892512,20.221933051083187,4.488742175281864,0.0139933550485322,0.3350842399531745,52.61600017547608,474,1024,roberta-large,swls,no,no,0,24_25,delta,no,yes,256,no
ridge,5,3.04040413447166,20.61418482347064,4.5174693861915465,0.0138131863421673,0.1391036073910601,48.46999740600586,474,4,roberta-large,swls,no,no,0,24_25,delta,yes,yes,2,no
ridge,5,3.157198893132517,19.616204254973944,4.403608689246863,0.0637362756503401,0.2879711329390771,49.00700044631958,474,32,roberta-large,swls,no,no,0,24_25,delta,yes,yes,16,no
ridge,5,3.230674002783907,20.36660717399624,4.491571628493199,0.0242043139348683,0.2529041560517918,48.7839093208313,474,64,roberta-large,swls,no,no,0,24_25,delta,yes,yes,32,no
ridge,5,3.3080444039015675,20.95763557129204,4.5538644971459465,-0.0036740101012886,0.244727673983933,51.7981481552124,474,128,roberta-large,swls,no,no,0,24_25,delta,yes,yes,64,no
ridge,5,3.427260407335788,21.93465666490973,4.666253176644338,-0.057970502264265,0.219919097675728,50.87399983406067,474,256,roberta-large,swls,no,no,0,24_25,delta,yes,yes,128,no
ridge,5,3.48444722063902,22.68544766312497,4.740711093070628,-0.0888900459584596,0.192855259265236,51.32399988174439,474,512,roberta-large,swls,no,no,0,24_25,delta,yes,yes,256,no
ridge,5,3.2978255089406034,19.97476230283141,4.460741591619138,0.0269021433616152,0.3369260666364514,64.63662099838257,474,4096,roberta-large,swls,no,no,0,24_25,delta,no,no,2,no
ridge,5,3.247080434146492,18.633853633761213,4.305009690030017,0.0929668260925038,0.4019432913385511,56.866336822509766,474,2048,roberta-large,swls,no,no,0,24_25,delta,yes,no,2,no
ridge,5,3.187285796388581,17.60872204353549,4.191130803750386,0.1352227896606397,0.4474428650315169,57.27389764785767,474,2049,roberta-large,swls,no,no,0,24_25,delta,yes,no,2,yes
ridge,5,3.1154974164940157,17.667475874392846,4.2031434938637835,0.12040781885117928,0.44597440650123604,71.14879179000854,474,4097,roberta-large,swls,no,no,0,24_25,delta,no,no,2,yes
